dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,100,10000,165,83.5000000000000000,83.5000000000000000,83.5000000000000000,83.5000000000000000,83.5000000000000000,83.5000000000000000,2,167,167,2,167,167,2,167,167
random,100,10000,379,0.99959885003677207996,0.99751509883889371755,1.0030866261059482,1.00026743330881861336,0.99933141672795346660,0.99595507120411847296,89742,89706,89766,89742,89519,89682,89742,90019,89379
random,100,10000,420,0.67127839536007733204,0.67127839536007733204,0.67127839536007733204,0.67127839536007733204,0.67127839536007733204,0.67127839536007733204,49656,33333,33333,49656,33333,33333,49656,33333,33333
random,100,10000,470,0.55980113400176252473,0.55980113400176252473,0.55980113400176252473,0.55980113400176252473,0.55980113400176252473,0.55980113400176252473,60141,33667,33667,60141,33667,33667,60141,33667,33667
random,100,10000,513,0.44404917244694732505,0.44378820135979671726,0.44351349495226976169,0.44417279033033445505,0.44378820135979671726,0.44396676052468923838,72805,32329,32338,72805,32310,32310,72805,32290,32323
random,100,10000,946,0.55556000000000000000,0.55556000000000000000,0.55556000000000000000,0.55556000000000000000,0.55556000000000000000,0.55556000000000000000,100000,55556,55556,100000,55556,55556,100000,55556,55556
random,100,10000,1461,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,100000,70370,70370,100000,70370,70370,100000,70370,70370
random,100,10000,1514,1.00096830351164539489,0.99970126806555620796,0.99949524604180186862,1.00083438919620507432,0.99990729008931054730,1.00045324845225954655,97077,97171,97158,97077,97048,97068,97077,97028,97121
random,100,10000,1539,1.00250422863168068888,1.00072490828811809415,1.00492058959207433605,1.00266898051534389210,1.00243832787821540760,0.99963754585594095292,91046,91274,91289,91046,91112,91268,91046,91494,91013
random,100,10000,2251,0.89489795918367346939,1.00000000000000000000,0.97959183673469387755,0.96938775510204081633,0.95612244897959183673,1.0173469387755102,980,877,950,980,980,937,980,960,997
random,100,10000,2475,0.99974963697361173702,0.99967953532622302338,0.99987982574733363377,0.99991988383155575585,0.99994992739472234740,1.00015021781583295779,99855,99830,99847,99855,99823,99850,99855,99843,99870
random,100,10000,2543,0.99744373715603227908,0.99744373715603227908,0.99744373715603227908,0.99744373715603227908,0.99744373715603227908,0.99744373715603227908,99755,99500,99500,99755,99500,99500,99755,99500,99500
random,100,10000,3059,16.6333333333333333,16.6333333333333333,16.6333333333333333,16.6333333333333333,16.6333333333333333,16.6333333333333333,60,998,998,60,998,998,60,998,998
random,100,10000,3280,0.44295302013422818792,0.46588366890380313199,0.47203579418344519016,0.44630872483221476510,0.45749440715883668904,0.45693512304250559284,1788,792,798,1788,833,818,1788,844,817
random,100,10000,4272,0.66927930788157790301,0.66927930788157790301,0.66923962219223747917,0.66929915072624811493,0.66918009365822684340,0.66921977934756726724,50396,33729,33730,50396,33729,33724,50396,33727,33726
random,100,10000,4549,12.0000000000000000,12.0000000000000000,12.0000000000000000,12.0000000000000000,12.0000000000000000,12.0000000000000000,0,12,12,0,12,12,0,12,12
random,100,10000,4595,1.3339715208806988,1.3339715208806988,1.3339715208806988,1.3339715208806988,1.3339715208806988,1.3339715208806988,25071,33444,33444,25071,33444,33444,25071,33444,33444
random,100,10000,5322,0.74652041076126623101,0.74652041076126623101,0.74652041076126623101,0.74652041076126623101,0.74652041076126623101,0.74652041076126623101,94264,70370,70370,94264,70370,70370,94264,70370,70370
random,100,10000,5602,1.0897435897435897,1.1025641025641026,1.0512820512820513,1.1153846153846154,1.00000000000000000000,1.0256410256410256,78,85,87,78,86,78,78,82,80
random,100,10000,5821,0.95454545454545454545,0.95454545454545454545,0.90909090909090909091,0.97727272727272727273,0.86363636363636363636,0.88636363636363636364,44,42,43,44,42,38,44,40,39
random,100,10000,6308,1.00003000390050706592,1.00003000390050706592,1.00003000390050706592,1.00003000390050706592,1.00003000390050706592,1.00003000390050706592,99987,99990,99990,99987,99990,99990,99987,99990,99990
random,100,10000,6330,1.0000200004000080,1.0000200004000080,1.0000200004000080,1.0000200004000080,1.0000200004000080,1.0000200004000080,99998,100000,100000,99998,100000,100000,99998,100000,100000
random,100,10000,6646,27.3125000000000000,27.2500000000000000,27.3750000000000000,27.3750000000000000,27.3125000000000000,27.2500000000000000,16,437,438,16,436,437,16,438,436
random,100,10000,7345,0.99377946356001083717,0.99550257382823083175,0.99544838797073963695,0.99560010837171498239,0.99451639122189108643,0.99362774315903549174,92275,91701,91869,92275,91860,91769,92275,91855,91687
random,100,10000,7451,0.99556995569955699557,0.99556995569955699557,0.99556995569955699557,0.99556995569955699557,0.99556995569955699557,0.99556995569955699557,99999,99556,99556,99999,99556,99556,99999,99556,99556
random,100,10000,7514,0.91340206185567010309,0.94020618556701030928,0.98762886597938144330,1.0164948453608247,0.92577319587628865979,1.0226804123711340,485,443,493,485,456,449,485,479,496
random,100,10000,8120,0.67395351630532700739,0.67395351630532700739,0.67395351630532700739,0.67395351630532700739,0.67395351630532700739,0.67395351630532700739,49953,33666,33666,49953,33666,33666,49953,33666,33666
random,100,10000,8300,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,99993,99501,99501,99993,99501,99501,99993,99501,99501
random,100,10000,8429,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,0.99507965557589031232,99993,99501,99501,99993,99501,99501,99993,99501,99501
random,100,10000,8647,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,0,3704,3704,0,3704,3704,0,3704,3704
random,100,10000,8711,1.00017241936700539888,0.99726284254878929276,1.00188583682662155027,1.00012931452525404916,0.99983835684343243855,0.99797407243768656314,92797,92813,92809,92797,92543,92782,92797,92972,92609
random,100,10000,8763,0.99938000000000000000,0.99937000000000000000,0.99940000000000000000,0.99936000000000000000,0.99942000000000000000,0.99941000000000000000,100000,99938,99936,100000,99937,99942,100000,99940,99941
random,100,10000,9099,0.99995000000000000000,0.99995000000000000000,0.99995000000000000000,0.99995000000000000000,0.99995000000000000000,0.99995000000000000000,100000,99995,99995,100000,99995,99995,100000,99995,99995
random,100,10000,9311,0.65370492420676019207,0.65370492420676019207,0.65370492420676019207,0.65370492420676019207,0.65371669334337632991,0.65371669334337632991,84968,55544,55544,84968,55544,55545,84968,55544,55545
random,100,10000,9350,0.66210471952963610361,0.66210471952963610361,0.66210471952963610361,0.66210471952963610361,0.66210471952963610361,0.66210471952963610361,50344,33333,33333,50344,33333,33333,50344,33333,33333
random,100,10000,9757,0.99086618034696254521,0.98890455464966591062,0.98988536749831422792,0.99055967633175994606,0.98982406669527370809,0.99032468992010462004,97878,96984,96954,97878,96792,96882,97878,96888,96931
random,100,10000,9770,1.00010003100961298002,1.00010003100961298002,1.00010003100961298002,1.00011003411057427803,1.00010003100961298002,1.00010003100961298002,99969,99979,99980,99969,99979,99979,99969,99979,99979
random,100,10000,9989,2.0408163265306122,2.0408163265306122,2.0408163265306122,2.0448979591836735,2.0448979591836735,2.0448979591836735,245,500,501,245,500,501,245,500,501
random,100,10000,9995,6.6800000000000000,6.6800000000000000,6.6800000000000000,6.6800000000000000,6.6800000000000000,6.6800000000000000,75,501,501,75,501,501,75,501,501
random,100,10000,10390,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
random,100,10000,10425,0.99976881412655775243,0.99760007045664714430,1.00199260205204984808,0.99990092033995332247,0.99950460169976661236,0.99658725615394777401,90836,90815,90827,90836,90618,90791,90836,91017,90526
random,100,10000,10441,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
