dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,1000,1000,559,0.99989067453809992347,0.99989067453809992347,0.99989067453809992347,0.99989067453809992347,0.99989067453809992347,0.99989067453809992347,82323,82314,82314,82323,82314,82314,82323,82314,82314
random,1000,1000,849,0.99253731343283582090,0.99253731343283582090,0.99253731343283582090,0.99253731343283582090,0.99253731343283582090,0.99253731343283582090,536,532,532,536,532,532,536,532,532
random,1000,1000,1027,1.0295454545454545,1.0295454545454545,1.0295454545454545,2.0284090909090909,2.0284090909090909,2.0284090909090909,880,906,1785,880,906,1785,880,906,1785
random,1000,1000,1113,0.66272117144600366077,0.66272117144600366077,0.66272117144600366077,0.66272117144600366077,0.67327638804148871263,0.67327638804148871263,49170,32586,32586,49170,32586,33105,49170,32586,33105
random,1000,1000,1539,1.01850164607553725233,1.01850164607553725233,1.01850164607553725233,1.01633927378305817753,1.01633927378305817753,1.01633927378305817753,82317,83840,83662,82317,83840,83662,82317,83840,83662
random,1000,1000,1540,19.0000000000000000,19.0000000000000000,19.0000000000000000,19.0000000000000000,19.0000000000000000,19.0000000000000000,0,19,19,0,19,19,0,19,19
random,1000,1000,2728,1.0229226361031519,1.0229226361031519,1.0229226361031519,2.0229226361031519,2.0229226361031519,2.0229226361031519,698,714,1412,698,714,1412,698,714,1412
random,1000,1000,2922,0.81570436657431985997,0.81570436657431985997,0.81570436657431985997,0.81570436657431985997,0.82549931029686214051,0.82549931029686214051,86269,70370,70370,86269,70370,71215,86269,70370,71215
random,1000,1000,2957,1.0165562913907285,1.0165562913907285,1.0165562913907285,1.0596026490066225,1.0596026490066225,1.0596026490066225,1208,1228,1280,1208,1228,1280,1208,1228,1280
random,1000,1000,4131,0.45392400331116985767,0.45392400331116985767,0.45392400331116985767,0.45392400331116985767,0.45616705385991615263,0.45616705385991615263,74898,33998,33998,74898,33998,34166,74898,33998,34166
