dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,100,1000,215,0.33163265306122448980,0.33076157292185166750,0.32155301144848183176,0.33374813339970134395,0.75945744151319064211,0.79255848680935788950,8036,2665,2682,8036,2658,6103,8036,2584,6369
correlated,100,1000,269,0.33175762784701332187,0.33165019338203695746,0.32445208422862054147,0.33283197249677696605,0.74419853889127632144,0.75526428878384185647,9308,3088,3098,9308,3087,6927,9308,3020,7030
correlated,100,1000,737,0.15007466401194624191,0.15094574415131906421,0.14634146341463414634,0.53695868591338974614,0.58063713290194126431,0.61311597809855649577,8036,1206,4315,8036,1213,4666,8036,1176,4927
correlated,100,1000,1349,0.34053816965196458444,0.34049736831368068873,0.34054836998653555837,0.34210902117589456934,0.44762128197804888000,0.44929413684768860419,98036,33385,33539,98036,33381,43883,98036,33386,44047
correlated,100,1000,1481,0.40781373559824225984,0.40781373559824225984,0.40781373559824225984,0.40781373559824225984,0.52606080019219026837,0.52656129568272589864,99901,40741,40741,99901,40741,52554,99901,40741,52604
correlated,100,1000,1736,40741.000000000000,40741.000000000000,40741.000000000000,40741.000000000000,40741.000000000000,40741.000000000000,0,40741,40741,0,40741,40741,0,40741,40741
correlated,100,1000,2393,2.8265023112480740,2.8287365177195686,2.8279661016949153,2.8296610169491525,3.2171032357473035,3.1994607087827427,12980,36688,36729,12980,36717,41758,12980,36707,41529
correlated,100,1000,3140,0.11556000000000000000,0.11556000000000000000,0.11556000000000000000,0.11556000000000000000,0.23368000000000000000,0.23419000000000000000,100000,11556,11556,100000,11556,23368,100000,11556,23419
correlated,100,1000,4027,0.01923076923076923077,0.01923076923076923077,0.01923076923076923077,0.01923076923076923077,0.01923076923076923077,0.01923076923076923077,52,1,1,52,1,1,52,1,1
correlated,100,1000,4178,0.99844288208370688435,1.00868211201811919030,0.98919454536875383381,0.98881706223753126032,1.01160760628509413486,1.01231538715613646015,21193,21160,20956,21193,21377,21439,21193,20964,21454
correlated,100,1000,4196,1.00838689092483704818,1.02114955102784994758,1.00556087333059847760,1.01763981949952140025,1.02816901408450704225,1.02579880577966178951,21939,22123,22326,21939,22403,22557,21939,22061,22505
correlated,100,1000,4237,0.02702702702702702703,0.02927927927927927928,0.02815315315315315315,0.02927927927927927928,0.31306306306306306306,0.48986486486486486486,888,24,26,888,26,278,888,25,435
correlated,100,1000,4272,0.34234000000000000000,0.34179000000000000000,0.34237000000000000000,0.34234000000000000000,0.45487000000000000000,0.45629000000000000000,100000,34234,34234,100000,34179,45487,100000,34237,45629
correlated,100,1000,4709,0.99513931950473066229,0.99513931950473066229,0.99513931950473066229,0.99516932370531874462,1.0001400196027444,1.0001400196027444,99986,99500,99503,99986,99500,100000,99986,99500,100000
correlated,100,1000,5066,0.40741000000000000000,0.40741000000000000000,0.40741000000000000000,0.40741000000000000000,0.52554000000000000000,0.52604000000000000000,100000,40741,40741,100000,40741,52554,100000,40741,52604
correlated,100,1000,5095,0.03795743110992693399,0.03795743110992693399,0.03795743110992693399,0.03795743110992693399,0.14210466987077667217,0.14602953383273725956,97583,3704,3704,97583,3704,13867,97583,3704,14250
correlated,100,1000,5322,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.82183000000000000000,0.82233000000000000000,100000,70370,70370,100000,70370,82183,100000,70370,82233
correlated,100,1000,5923,4491.0000000000000000,4453.0000000000000000,4274.0000000000000000,4519.0000000000000000,4523.0000000000000000,4468.0000000000000000,0,4491,4519,0,4453,4523,0,4274,4468
correlated,100,1000,6135,0.99997000000000000000,0.99997000000000000000,0.99997000000000000000,0.99996000000000000000,0.99424000000000000000,0.99273000000000000000,100000,99997,99996,100000,99997,99424,100000,99997,99273
correlated,100,1000,6456,1.00110627400768245839,1.00132138284250960307,1.00226376440460947503,1.00095262483994878361,1.01054033290653008963,1.01061203585147247119,97625,97733,97718,97625,97754,98654,97625,97846,98661
correlated,100,1000,6750,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,0.67591000000000000000,0.67641000000000000000,100000,55778,55778,100000,55778,67591,100000,55778,67641
correlated,100,1000,7312,0.92153742883424906148,0.91994629938095119708,0.92458295005345200507,0.99219352111975735276,0.97220495736270293116,0.97579742933147701564,80446,74134,79818,80446,74006,78210,80446,74379,78499
correlated,100,1000,7689,0.33998000000000000000,0.33998000000000000000,0.33998000000000000000,0.33998000000000000000,0.45811000000000000000,0.45861000000000000000,100000,33998,33998,100000,33998,45811,100000,33998,45861
correlated,100,1000,8022,1.0938820564853323,1.0938820564853323,1.0944395508825136,1.0272614760221660,1.0411319366240369,1.0341298069954397,89687,98107,92132,89687,98107,93376,89687,98157,92748
correlated,100,1000,8282,0.99598602616590424520,0.99598602616590424520,0.99598602616590424520,0.99598602616590424520,1.0009909810712605,1.0009909810712605,99901,99500,99500,99901,99500,100000,99901,99500,100000
correlated,100,1000,8367,0.99997000000000000000,0.99997000000000000000,0.99997000000000000000,0.99997000000000000000,0.99775000000000000000,0.99686000000000000000,100000,99997,99997,100000,99997,99775,100000,99997,99686
correlated,100,1000,8860,246.7380952380952381,246.9285714285714286,247.1904761904761905,246.3809523809523810,246.4523809523809524,246.4523809523809524,42,10363,10348,42,10371,10351,42,10382,10351
correlated,100,1000,8951,1.00005044797804503995,1.00008071676487206393,0.99950560981515860844,1.00021188150778916781,1.00028250867705222375,0.99960650577124868835,99112,99117,99133,99112,99120,99140,99112,99063,99073
correlated,100,1000,9121,335.0303030303030303,335.0303030303030303,335.0303030303030303,335.0303030303030303,335.0303030303030303,335.0303030303030303,33,11056,11056,33,11056,11056,33,11056,11056
correlated,100,1000,9155,1.02021868563171863952,1.02021868563171863952,1.02021868563171863952,1.02021868563171863952,1.00843384605925212383,1.01184632569197503664,97583,99556,99556,97583,99556,98406,97583,99556,98739
correlated,100,1000,9204,1.00854442191487859254,1.00856459764549223739,1.00854442191487859254,0.88341454064905325384,0.91023817449989407741,0.90001916694408296260,99129,99976,87572,99129,99978,90231,99129,99976,89218
correlated,100,1000,9678,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.98393000000000000000,0.98598000000000000000,0.98212000000000000000,100000,100000,98393,100000,100000,98598,100000,100000,98212
correlated,100,1000,9800,1.02473791541559492944,1.02473791541559492944,1.02473791541559492944,1.02473791541559492944,1.00785997561050592829,1.01127245524322884109,97583,99997,99997,97583,99997,98350,97583,99997,98683
correlated,100,1000,10364,0.33335000000000000000,0.33335000000000000000,0.33335000000000000000,0.33335000000000000000,0.45148000000000000000,0.45198000000000000000,100000,33335,33335,100000,33335,45148,100000,33335,45198
correlated,100,1000,11082,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,0.67591000000000000000,0.67641000000000000000,100000,55778,55778,100000,55778,67591,100000,55778,67641
correlated,100,1000,11102,0.99898426107507416906,0.99963795444260069392,0.99895409061195756022,0.99898426107507416906,0.99895409061195756022,0.99897420425403529944,99435,99334,99334,99435,99399,99331,99435,99331,99333
correlated,100,1000,11241,23.0033098882912702,23.0033098882912702,23.0033098882912702,23.0033098882912702,23.6363260239966901,23.4997931319817956,2417,55599,55599,2417,55599,57129,2417,55599,56799
correlated,100,1000,11246,0.33355000000000000000,0.33355000000000000000,0.33355000000000000000,0.33355000000000000000,0.45168000000000000000,0.45218000000000000000,100000,33355,33355,100000,33355,45168,100000,33355,45218
correlated,100,1000,11720,0.33355000000000000000,0.33355000000000000000,0.33355000000000000000,0.33355000000000000000,0.45168000000000000000,0.45218000000000000000,100000,33355,33355,100000,33355,45168,100000,33355,45218
correlated,100,1000,12364,0.35320088300220750552,0.32450331125827814570,0.35320088300220750552,0.35320088300220750552,1.0905077262693157,0.60264900662251655629,453,160,160,453,147,494,453,160,273
correlated,100,1000,13135,4615.0000000000000000,4629.0000000000000000,4610.0000000000000000,4645.0000000000000000,4697.0000000000000000,4671.0000000000000000,0,4615,4645,0,4629,4697,0,4610,4671
correlated,100,1000,13229,13.7910633016135705,13.7910633016135705,13.7910633016135705,13.7910633016135705,14.4737277616880430,14.3359536615639222,2417,33333,33333,2417,33333,34983,2417,33333,34650
correlated,100,1000,13746,1.0033813953021683,1.0033813953021683,1.0033813953021683,0.94058978758415861453,0.94787433651405235644,0.94548628879323319587,99663,100000,93742,99663,100000,94468,99663,100000,94230
correlated,100,1000,13959,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.82183000000000000000,0.82233000000000000000,100000,70370,70370,100000,70370,82183,100000,70370,82233
correlated,100,1000,14550,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.99975000000000000000,0.95375000000000000000,0.95127000000000000000,100000,100000,99975,100000,100000,95375,100000,100000,95127
correlated,100,1000,14895,0.41025743604104574640,0.40980737303222451143,0.41284779869181685436,0.41042745984437821295,0.47785689996599523933,0.48377772888204348609,99986,41020,41037,99986,40975,47779,99986,41279,48371
correlated,100,1000,15084,0.59925389554537635269,0.59907387034184785870,0.60040405656791950873,0.59929390114616046246,0.67541455803812533755,0.68118536595123317264,99986,59917,59921,99986,59899,67532,99986,60032,68109
correlated,100,1000,15105,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
correlated,100,1000,15498,0.97226901013059929208,0.97123153911875991700,0.96899792505797632125,0.98713535945319174905,0.98927132918344928598,0.98745270352740144025,81930,79658,80876,81930,79573,81051,81930,79390,80902
correlated,100,1000,16536,0.55904000000000000000,0.55892000000000000000,0.55905000000000000000,0.55904000000000000000,0.67607000000000000000,0.67796000000000000000,100000,55904,55904,100000,55892,67607,100000,55905,67796
correlated,100,1000,16697,19.0000000000000000,19.0000000000000000,19.0000000000000000,19.0000000000000000,19.0000000000000000,19.0000000000000000,0,19,19,0,19,19,0,19,19
correlated,100,1000,17227,0.55570000000000000000,0.55568000000000000000,0.55570000000000000000,0.55570000000000000000,0.67383000000000000000,0.67489000000000000000,100000,55570,55570,100000,55568,67383,100000,55570,67489
correlated,100,1000,17358,0.34452000000000000000,0.34461000000000000000,0.34492000000000000000,0.34465000000000000000,0.46296000000000000000,0.46399000000000000000,100000,34452,34465,100000,34461,46296,100000,34492,46399
correlated,100,1000,17379,0.60494000000000000000,0.60494000000000000000,0.60494000000000000000,0.60494000000000000000,0.72307000000000000000,0.72417000000000000000,100000,60494,60494,100000,60494,72307,100000,60494,72417
correlated,100,1000,17770,0.35200000000000000000,0.35232000000000000000,0.35310000000000000000,0.38898000000000000000,0.47102000000000000000,0.47196000000000000000,100000,35200,38898,100000,35232,47102,100000,35310,47196
correlated,100,1000,18114,14.8125775755068266,14.8125775755068266,14.8125775755068266,14.8125775755068266,15.4952420355812991,15.3876706661150186,2417,35802,35802,2417,35802,37452,2417,35802,37192
correlated,100,1000,18915,0.99979000000000000000,0.99978000000000000000,0.99978000000000000000,0.94702000000000000000,0.95945000000000000000,0.95765000000000000000,100000,99979,94702,100000,99978,95945,100000,99978,95765
