dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,10000,10000,139,0.09235585703104617793,0.09235585703104617793,0.09235585703104617793,0.09235585703104617793,0.09235585703104617793,0.09235585703104617793,3833,354,354,3833,354,354,3833,354,354
random,10000,10000,206,0.66819611693281772827,0.66819611693281772827,0.66819611693281772827,0.66819611693281772827,0.76881925103688713458,0.76881925103688713458,49909,33349,33349,49909,33349,38371,49909,33349,38371
random,10000,10000,378,1.00050315478047356928,1.00050315478047356928,1.00050315478047356928,0.91479576947460577823,0.91479576947460577823,0.91479576947460577823,99373,99423,90906,99373,99423,90906,99373,99423,90906
random,10000,10000,399,0.75603797819024353389,0.75603797819024353389,0.75603797819024353389,0.75603797819024353389,0.85642330067746241217,0.85642330067746241217,39707,30020,30020,39707,30020,34006,39707,30020,34006
random,10000,10000,1067,1.3301917061041149,1.3301917061041149,1.3301917061041149,1.3301917061041149,1.5930857463704179,1.5930857463704179,24934,33167,33167,24934,33167,39722,24934,33167,39722
random,10000,10000,1479,0.73476590235141795097,0.73476590235141795097,0.73476590235141795097,0.73476590235141795097,0.82482353923902602013,0.82482353923902602013,95772,70370,70370,95772,70370,78995,95772,70370,78995
random,10000,10000,2080,0.33734939759036144578,0.33734939759036144578,0.33734939759036144578,0.36947791164658634538,0.43373493975903614458,0.43373493975903614458,249,84,92,249,84,108,249,84,108
random,10000,10000,2257,0.98978201634877384196,0.98978201634877384196,0.98978201634877384196,1.0865122615803815,1.0865122615803815,1.0865122615803815,1468,1453,1595,1468,1453,1595,1468,1453,1595
random,10000,10000,2609,0.99506965487584130889,0.99506965487584130889,0.99506965487584130889,0.99506965487584130889,1.00004000280019601372,1.00004000280019601372,99993,99500,99500,99993,99500,99997,99993,99500,99997
random,10000,10000,3113,10.5047021943573668,10.5047021943573668,10.5047021943573668,10.5047021943573668,10.6112852664576803,10.6112852664576803,319,3351,3351,319,3351,3385,319,3351,3385
random,10000,10000,3133,56.0000000000000000,56.0000000000000000,56.0000000000000000,56.0000000000000000,57.0000000000000000,57.0000000000000000,1,56,56,1,56,57,1,56,57
random,10000,10000,3711,0.99973000000000000000,0.99973000000000000000,0.99973000000000000000,0.99973000000000000000,0.99973000000000000000,0.99973000000000000000,100000,99973,99973,100000,99973,99973,100000,99973,99973
random,10000,10000,3719,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,99576,99576,99576,99576,99576,99576,99576,99576,99576
random,10000,10000,3826,1.2607489597780860,1.2607489597780860,1.2607489597780860,1.2607489597780860,1.5353675450762829,1.5353675450762829,721,909,909,721,909,1107,721,909,1107
random,10000,10000,4027,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
random,10000,10000,4272,0.66918009365822684340,0.66918009365822684340,0.66918009365822684340,0.66918009365822684340,0.76742201762044606715,0.76742201762044606715,50396,33724,33724,50396,33724,38675,50396,33724,38675
random,10000,10000,4334,0.82919693551186373441,0.82919693551186373441,0.82919693551186373441,0.82919693551186373441,0.92881759353383085811,0.92881759353383085811,40333,33444,33444,40333,33444,37462,40333,33444,37462
random,10000,10000,4568,0.66430955029397743525,0.66430955029397743525,0.66430955029397743525,0.66430955029397743525,0.76342761798824090259,0.76342761798824090259,50344,33444,33444,50344,33444,38434,50344,33444,38434
random,10000,10000,5115,0.98839000000000000000,0.98839000000000000000,0.98839000000000000000,0.98661000000000000000,0.98661000000000000000,0.98661000000000000000,100000,98839,98661,100000,98839,98661,100000,98839,98661
random,10000,10000,5559,0.99778997789977899779,0.99778997789977899779,0.99778997789977899779,0.99778997789977899779,1.0000100001000010,1.0000100001000010,99999,99778,99778,99999,99778,100000,99999,99778,100000
random,10000,10000,5798,0.80203555328070555348,0.80203555328070555348,0.80203555328070555348,0.80203555328070555348,0.91028997775459180660,0.91028997775459180660,50797,40741,40741,50797,40741,46240,50797,40741,46240
random,10000,10000,5806,0.41119005328596802842,0.41119005328596802842,0.41119005328596802842,0.41119005328596802842,0.63510213143872113677,0.63510213143872113677,9008,3704,3704,9008,3704,5721,9008,3704,5721
random,10000,10000,6069,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.99674000000000000000,0.99674000000000000000,0.99674000000000000000,100000,100000,99674,100000,100000,99674,100000,100000,99674
random,10000,10000,6545,0.99998999239421960690,0.99998999239421960690,0.99998999239421960690,0.99974980985549017253,0.99974980985549017253,0.99974980985549017253,99924,99923,99899,99924,99923,99899,99924,99923,99899
random,10000,10000,6678,0.99956999569995699957,0.99956999569995699957,0.99956999569995699957,0.99956999569995699957,1.0000100001000010,1.0000100001000010,99999,99956,99956,99999,99956,100000,99999,99956,100000
random,10000,10000,7109,1.02549706341936526753,1.02549706341936526753,1.02531386389352874616,1.07197586076836036424,1.0776442696265963,1.0776442696265963,92795,95161,99474,92795,95161,100000,92795,95144,100000
random,10000,10000,9407,0.66798260555900683353,0.66798260555900683353,0.66798260555900683353,0.66798260555900683353,0.76892246648363760245,0.66798260555900683353,49901,33333,33333,49901,33333,38370,49901,33333,33333
random,10000,10000,9463,0.99995926804680101423,0.99995926804680101423,0.99825870900074335815,1.01666955184668492816,1.01666955184668492816,0.99939920369031495983,98203,98199,99840,98203,98199,99840,98203,98032,98144
random,10000,10000,10629,0.99998990103009493032,0.99998990103009493032,0.99966673399313270046,0.99977782266208846698,0.99977782266208846698,0.99993940618056958190,99020,99019,98998,99020,99019,98998,99020,98987,99014
random,10000,10000,10927,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1,1,1,1,1,1,1,1,1
random,10000,10000,11274,0.65654128613124941154,0.65654128613124941154,0.65657659354109782506,0.65654128613124941154,0.74815224555126635910,0.65638828735523961962,84968,55785,55785,84968,55785,63569,84968,55788,55772
random,10000,10000,11404,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,1.00000000000000000000,0.50000000000000000000,2,1,1,2,1,2,2,1,1
random,10000,10000,11875,0.99918677148278666305,0.99918677148278666305,0.94659799403632420710,1.0986717267552182,1.0986717267552182,0.99349417186229330442,3689,3686,4053,3689,3686,4053,3689,3492,3665
