dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,10,10,139,0.91069582721288286818,0.90359610467330395517,0.89943419835699907513,0.93164136880474402916,0.92010771992818671454,0.94254937163375224417,36762,33479,34249,36762,33218,33825,36762,33065,34650
correlated,10,10,215,0.33597192753386649257,0.33564550350905826669,0.33216364724443719058,0.34290843806104129264,1.1855448561014091,1.2312986235786954,36762,12351,12606,36762,12339,43583,36762,12211,45265
correlated,10,10,1208,0.99505000000000000000,0.99447000000000000000,0.99461000000000000000,0.89300000000000000000,0.89067000000000000000,0.92000000000000000000,100000,99505,89300,100000,99447,89067,100000,99461,92000
correlated,10,10,1479,0.75715515386270712287,0.75715515386270712287,0.75715515386270712287,0.75715515386270712287,1.0759629868732516,1.0759629868732516,92940,70370,70370,92940,70370,100000,92940,70370,100000
correlated,10,10,1514,0.73210725093246381571,0.71294189401581083300,0.69640385652959253091,1.4442281076262638,1.4412958314762251,1.4997067723849961,42629,31209,61566,42629,30392,61441,42629,29687,63931
correlated,10,10,1676,47226.000000000000,47574.000000000000,47504.000000000000,47581.000000000000,47630.000000000000,47304.000000000000,0,47226,47581,0,47574,47630,0,47504,47304
correlated,10,10,2071,0.70708486172361208424,0.70135597411696822322,0.70156204921073239088,0.71211309401145777521,1.5840992457651568,1.6106829328607345,24263,17156,17278,24263,17017,38435,24263,17022,39080
correlated,10,10,2184,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,1.00000000000000000000,1.00000000000000000000,100000,70370,70370,100000,70370,100000,100000,70370,100000
correlated,10,10,2439,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,1.00000000000000000000,1.00000000000000000000,100000,70370,70370,100000,70370,100000,100000,70370,100000
correlated,10,10,2572,1.8251554941257775,1.8479958534899793,1.8554595715272979,1.8823773324118867,2.1101243953006220,2.1262266758811334,28940,52820,54476,28940,53481,61067,28940,53697,61533
correlated,10,10,2867,33333.000000000000,33333.000000000000,33333.000000000000,33333.000000000000,33333.000000000000,33333.000000000000,0,33333,33333,0,33333,33333,0,33333,33333
correlated,10,10,3330,0.93115000000000000000,0.93221000000000000000,0.93016000000000000000,0.92997000000000000000,0.97314000000000000000,0.93187000000000000000,100000,93115,92997,100000,93221,97314,100000,93016,93187
correlated,10,10,3699,0.99472000000000000000,0.99349000000000000000,0.99288000000000000000,0.72545000000000000000,0.72784000000000000000,0.71968000000000000000,100000,99472,72545,100000,99349,72784,100000,99288,71968
correlated,10,10,3775,36331.000000000000,35409.000000000000,35812.000000000000,48367.000000000000,35299.000000000000,36627.000000000000,0,36331,48367,0,35409,35299,0,35812,36627
correlated,10,10,5079,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,1.00000000000000000000,1.00000000000000000000,100000,70370,70370,100000,70370,100000,100000,70370,100000
correlated,10,10,5462,1.05227529543462419871,1.05227529543462419871,1.05226473476887983018,1.05226473476887983018,1.05602433177387502508,1.05562302647558902113,94691,99641,99640,94691,99641,99996,94691,99640,99958
correlated,10,10,5685,0.88780000000000000000,0.88805000000000000000,0.88498000000000000000,0.89167000000000000000,0.92988000000000000000,0.88766000000000000000,100000,88780,89167,100000,88805,92988,100000,88498,88766
correlated,10,10,5742,0.94637000000000000000,0.94911000000000000000,0.94785000000000000000,0.94696000000000000000,0.98936000000000000000,0.94911000000000000000,100000,94637,94696,100000,94911,98936,100000,94785,94911
correlated,10,10,6780,1.8642379679144385,1.8642379679144385,1.8642379679144385,1.8642379679144385,2.5883689839572193,2.6062165775401070,29920,55778,55778,29920,55778,77444,29920,55778,77978
correlated,10,10,7313,0.96520000000000000000,0.96625000000000000000,0.96748000000000000000,0.87874000000000000000,0.88288000000000000000,1.00000000000000000000,100000,96520,87874,100000,96625,88288,100000,96748,100000
