dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,1000,10,399,0.34431323803604723431,0.34431323803604723431,0.34431323803604723431,0.34431323803604723431,0.34431323803604723431,0.34431323803604723431,1609,554,554,1609,554,554,1609,554,554
random,1000,10,512,0.83782697693109467418,0.83782697693109467418,0.83782697693109467418,0.83782697693109467418,0.83994926598937599679,0.83994926598937599679,79631,66717,66717,79631,66717,66886,79631,66717,66886
random,1000,10,1113,0.56057779898494772915,0.56057779898494772915,0.56057779898494772915,0.56057779898494772915,0.57387324860104975491,0.57387324860104975491,46106,25846,25846,46106,25846,26459,46106,25846,26459
random,1000,10,2133,1.0544164303090773,1.0544164303090773,1.0544164303090773,1.0544164303090773,1.0274884810708400,1.0274884810708400,89201,94055,94055,89201,94055,91653,89201,94055,91653
random,1000,10,2475,0.99997971499568943658,0.99997971499568943658,0.99997971499568943658,0.99486789390942745575,0.99486789390942745575,0.99486789390942745575,98595,98593,98089,98595,98593,98089,98595,98593,98089
random,1000,10,2574,1.1659108751948067,1.1659108751948067,1.1659108751948067,1.1659108751948067,1.04983536635380415041,1.04983536635380415041,85341,99500,99500,85341,99500,89594,85341,99500,89594
random,1000,10,2957,0.99677823518883121532,0.99677823518883121532,0.99677823518883121532,0.99785215679255414355,0.99785215679255414355,0.99785215679255414355,5587,5569,5575,5587,5569,5575,5587,5569,5575
random,1000,10,3112,0.07746100053792361485,0.07746100053792361485,0.07746100053792361485,0.07746100053792361485,0.28994082840236686391,0.28994082840236686391,1859,144,144,1859,144,539,1859,144,539
random,1000,10,3153,0.86311587026491705868,0.86311587026491705868,0.86311587026491705868,0.86311587026491705868,0.94305521168606090616,0.94305521168606090616,64624,55778,55778,64624,55778,60944,64624,55778,60944
random,1000,10,3656,1.2375759416767922,1.2375759416767922,1.2375759416767922,1.2375759416767922,1.2496051032806804,1.2496051032806804,32920,40741,40741,32920,40741,41137,32920,40741,41137
random,1000,10,3921,0.99811028687453511047,0.99811028687453511047,0.99811028687453511047,0.99760770359648593772,0.99760770359648593772,0.99760770359648593772,49743,49649,49624,49743,49649,49624,49743,49649,49624
random,1000,10,4817,1.2311432813659985,1.2311432813659985,1.2311432813659985,1.2311432813659985,1.04445681761940113833,1.04445681761940113833,80820,99501,99501,80820,99501,84413,80820,99501,84413
random,1000,10,4884,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.98224000000000000000,0.98224000000000000000,0.98224000000000000000,100000,100000,98224,100000,100000,98224,100000,100000,98224
random,1000,10,5972,1.05957410580310108868,1.05957410580310108868,1.05957410580310108868,1.05957410580310108868,1.02232698713378100823,1.02232698713378100823,93967,99565,99565,93967,99565,96065,93967,99565,96065
random,1000,10,6948,0.75664352897687600115,0.75664352897687600115,0.75664352897687600115,0.75664352897687600115,0.85280527375035938719,0.85280527375035938719,97388,73688,73688,97388,73688,83053,97388,73688,83053
random,1000,10,7286,0.99993924296737347348,0.99993924296737347348,0.99993924296737347348,1.00100249103833768759,1.00100249103833768759,1.00100249103833768759,65836,65832,65902,65836,65832,65902,65836,65832,65902
random,1000,10,7530,0.99847945086454079416,0.99847945086454079416,0.99847945086454079416,0.99853737654589162105,0.99853737654589162105,0.99853737654589162105,69054,68949,68953,69054,68949,68953,69054,68949,68953
random,1000,10,8398,0.09834254143646408840,0.09834254143646408840,0.09834254143646408840,0.09834254143646408840,0.09834254143646408840,0.09834254143646408840,905,89,89,905,89,89,905,89,89
random,1000,10,8647,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,3704.0000000000000000,0,3704,3704,0,3704,3704,0,3704,3704
random,1000,10,8916,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.71525000000000000000,0.71525000000000000000,100000,70370,70370,100000,70370,71525,100000,70370,71525
random,1000,10,9801,1.02166983387482376019,1.02166983387482376019,1.02166983387482376019,1.02166983387482376019,0.95166431680255011341,0.95166431680255011341,97878,99999,99999,97878,99999,93147,97878,99999,93147
random,1000,10,9806,1.08138208290324333134,1.08138208290324333134,1.08138208290324333134,1.08138208290324333134,1.05277340142337154343,1.05277340142337154343,92035,99525,99525,92035,99525,96892,92035,99525,96892
random,1000,10,9939,0.98852583144038674355,0.98852583144038674355,0.98852583144038674355,0.98524472401809462791,0.98524472401809462791,0.98524472401809462791,51507,50916,50747,51507,50916,50747,51507,50916,50747
random,1000,10,10068,0.28762986662832081101,0.28762986662832081101,0.28762986662832081101,0.28762986662832081101,0.71190279325592263724,0.71190279325592263724,27817,8001,8001,27817,8001,19803,27817,8001,19803
random,1000,10,10086,0.05303541614862704700,0.05303541614862704700,0.05303541614862704700,0.05303541614862704700,0.55237824588824553302,0.55237824588824553302,28151,1493,1493,28151,1493,15550,28151,1493,15550
random,1000,10,10489,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
