dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,1000,100,269,0.33334472272525369871,0.33334472272525369871,0.33334472272525369871,0.33334472272525369871,1.00000000000000000000,1.00000000000000000000,29267,9756,9756,29267,9756,29267,29267,9756,29267
correlated,1000,100,281,11111.0000000000000000,11111.0000000000000000,11111.0000000000000000,11111.0000000000000000,1.00000000000000000000,1.00000000000000000000,0,11111,11111,0,11111,1,0,11111,1
correlated,1000,100,378,1.2403323519420224,1.2403323519420224,1.2403323519420224,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,70648,87627,70648,70648,87627,70648,70648,87627,70648
correlated,1000,100,405,11111.0000000000000000,11111.0000000000000000,11111.0000000000000000,11111.0000000000000000,1.00000000000000000000,1.00000000000000000000,0,11111,11111,0,11111,1,0,11111,1
correlated,1000,100,946,0.55556000000000000000,0.55556000000000000000,0.55556000000000000000,0.55556000000000000000,1.00000000000000000000,1.00000000000000000000,100000,55556,55556,100000,55556,100000,100000,55556,100000
correlated,1000,100,1922,17.5623100303951368,17.5623100303951368,17.5623100303951368,17.5623100303951368,1.00000000000000000000,1.00000000000000000000,658,11556,11556,658,11556,658,658,11556,658
correlated,1000,100,2439,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,1.00000000000000000000,1.00000000000000000000,100000,70370,70370,100000,70370,100000,100000,70370,100000
correlated,1000,100,2485,0.34882895670688431512,0.34882895670688431512,0.34882895670688431512,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,5636,1966,5636,5636,1966,5636,5636,1966,5636
correlated,1000,100,2572,1.4015022191874360,1.4015022191874360,1.4015022191874360,1.4015022191874360,1.00000000000000000000,1.00000000000000000000,17574,24630,24630,17574,24630,17574,17574,24630,17574
correlated,1000,100,2974,9.0000000000000000,9.0000000000000000,9.0000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,9,1,0,9,1,0,9,1
correlated,1000,100,3140,0.11556000000000000000,0.11556000000000000000,0.11556000000000000000,0.11556000000000000000,1.00000000000000000000,1.00000000000000000000,100000,11556,11556,100000,11556,100000,100000,11556,100000
correlated,1000,100,3174,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,1.00000000000000000000,1.00000000000000000000,100000,55778,55778,100000,55778,100000,100000,55778,100000
correlated,1000,100,3531,0.95464836136030702551,0.95464836136030702551,0.95464836136030702551,0.95464836136030702551,1.00000000000000000000,1.00000000000000000000,82599,78853,78853,82599,78853,82599,82599,78853,82599
correlated,1000,100,3823,2381.0000000000000000,2381.0000000000000000,2381.0000000000000000,2381.0000000000000000,1.00000000000000000000,1.00000000000000000000,0,2381,2381,0,2381,1,0,2381,1
correlated,1000,100,4442,0.33337000000000000000,0.33337000000000000000,0.33337000000000000000,0.33337000000000000000,1.00000000000000000000,1.00000000000000000000,100000,33337,33337,100000,33337,100000,100000,33337,100000
correlated,1000,100,4595,50.8267477203647416,50.8267477203647416,50.8267477203647416,50.8267477203647416,1.00000000000000000000,1.00000000000000000000,658,33444,33444,658,33444,658,658,33444,658
correlated,1000,100,4718,99501.000000000000,99501.000000000000,99501.000000000000,99501.000000000000,275.0000000000000000,1.00000000000000000000,0,99501,99501,0,99501,275,0,99501,1
correlated,1000,100,5046,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,1.00000000000000000000,1.00000000000000000000,100000,70370,70370,100000,70370,100000,100000,70370,100000
correlated,1000,100,5138,0.86852091513303647810,0.86852091513303647810,0.86852091513303647810,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,91178,79190,91178,91178,79190,91178,91178,79190,91178
correlated,1000,100,5216,0.43490000000000000000,0.43490000000000000000,0.43490000000000000000,0.58647000000000000000,1.00000000000000000000,1.00000000000000000000,100000,43490,58647,100000,43490,100000,100000,43490,100000
correlated,1000,100,5419,0.37775647171620325983,0.37775647171620325983,0.37775647171620325983,1.4755512943432407,1.00000000000000000000,1.00000000000000000000,1043,394,1539,1043,394,1043,1043,394,1043
correlated,1000,100,5462,0.99976893014657865919,0.99976893014657865919,0.99976893014657865919,0.99976893014657865919,1.00000000000000000000,1.00000000000000000000,99537,99514,99514,99537,99514,99537,99537,99514,99537
correlated,1000,100,6462,1.2298644197192258,1.2298644197192258,1.2298644197192258,1.2298644197192258,1.00000000000000000000,1.00000000000000000000,70733,86992,86992,70733,86992,70733,70733,86992,70733
correlated,1000,100,6646,0.39344262295081967213,0.39344262295081967213,0.39344262295081967213,0.55737704918032786885,1.00000000000000000000,1.00000000000000000000,488,192,272,488,192,488,488,192,488
correlated,1000,100,6713,2.9752217005738132,2.9752217005738132,2.9752217005738132,2.9752217005738132,1.00000000000000000000,1.00000000000000000000,7668,22814,22814,7668,22814,7668,7668,22814,7668
correlated,1000,100,6714,1.01400043675539271589,1.01400043675539271589,1.01400043675539271589,1.01400043675539271589,1.00000000000000000000,1.00000000000000000000,82426,83580,83580,82426,83580,82426,82426,83580,82426
correlated,1000,100,7109,1.1161812870673630,1.1161812870673630,1.1161812870673630,1.1534773243634003,1.00000000000000000000,1.00000000000000000000,67782,75657,78185,67782,75657,67782,67782,75657,67782
