dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,10000,1000,379,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,78051,78051,78051,78051,78051,78051,78051,78051,78051
random,10000,1000,660,1.00708324070893033971,1.00708324070893033971,1.00708324070893033971,1.00708324070893033971,1.0104480326576804,1.0104480326576804,98966,99667,99667,98966,99667,100000,98966,99667,100000
random,10000,1000,769,4.5135135135135135,4.5135135135135135,4.5135135135135135,4.5135135135135135,5.0270270270270270,5.0270270270270270,37,167,167,37,167,186,37,167,186
random,10000,1000,890,0.99923677920825885236,0.99923677920825885236,0.99923677920825885236,0.99923677920825885236,1.00389644298941533270,1.00389644298941533270,99578,99502,99502,99578,99502,99966,99578,99502,99966
random,10000,1000,1374,0.84210220757921014819,0.84210220757921014819,0.84210220757921014819,0.84210220757921014819,0.88214633013541560835,0.88214633013541560835,68899,58020,58020,68899,58020,60779,68899,58020,60779
random,10000,1000,2333,0.80816262025641532170,0.80816262025641532170,0.80816262025641532170,0.80816262025641532170,0.88686513502301416408,0.90910886786116433891,50621,40910,40910,50621,40910,44894,50621,40910,46020
random,10000,1000,3041,1.0638729300439338,1.0638729300439338,1.0638729300439338,1.1601892531260561,1.1667793173369382,1.1667793173369382,5918,6296,6866,5918,6296,6905,5918,6296,6905
random,10000,1000,3511,167.0000000000000000,167.0000000000000000,167.0000000000000000,167.0000000000000000,167.0000000000000000,167.0000000000000000,0,167,167,0,167,167,0,167,167
random,10000,1000,3656,1.2505678678863036,1.2505678678863036,1.2505678678863036,1.2505678678863036,1.4538338756215851,1.4538338756215851,32578,40741,40741,32578,40741,47363,32578,40741,47363
random,10000,1000,3809,0.99921670231675353237,0.99921670231675353237,0.99921670231675353237,0.99921670231675353237,1.00388636158226132016,1.00388636158226132016,99579,99501,99501,99579,99501,99966,99579,99501,99966
random,10000,1000,4011,1.01615373903356078541,1.01615373903356078541,1.01615373903356078541,1.01615373903356078541,1.01803370004177691129,1.01803370004177691129,14362,14594,14594,14362,14594,14621,14362,14594,14621
random,10000,1000,6019,0.73953177257525083612,0.73953177257525083612,0.73953177257525083612,0.73953177257525083612,1.00227424749163879599,1.00227424749163879599,14950,11056,11056,14950,11056,14984,14950,11056,14984
random,10000,1000,6779,0.45681306083725342926,0.45681306083725342926,0.45681306083725342926,0.45681306083725342926,0.71617187808831086690,0.71617187808831086690,25297,11556,11556,25297,11556,18117,25297,11556,18117
random,10000,1000,6818,0.99993614032100131977,0.99993614032100131977,0.99993614032100131977,0.98123589765422112478,0.98123589765422112478,1.05239686661841713142,93956,93950,92193,93956,93950,92193,93956,93950,98879
random,10000,1000,6944,0.78345289055765774979,0.78345289055765774979,0.78345289055765774979,0.78345289055765774979,0.90214326413137171826,0.90214326413137171826,68447,53625,53625,68447,53625,61749,68447,53625,61749
random,10000,1000,6948,0.97676400978779734446,0.97676400978779734446,0.97676400978779734446,0.97676400978779734446,0.98159773757471218260,0.98159773757471218260,99716,97399,97399,99716,97399,97881,99716,97399,97881
random,10000,1000,7403,1.00708324070893033971,1.00708324070893033971,1.00708324070893033971,1.00708324070893033971,1.0104480326576804,1.0104480326576804,98966,99667,99667,98966,99667,100000,98966,99667,100000
random,10000,1000,7791,0.93684000000000000000,0.93684000000000000000,0.93684000000000000000,0.93684000000000000000,0.93684000000000000000,0.93684000000000000000,100000,93684,93684,100000,93684,93684,100000,93684,93684
random,10000,1000,7819,4.6000000000000000,4.6000000000000000,4.6000000000000000,5.0062500000000000,4.6875000000000000,4.6875000000000000,160,736,801,160,736,750,160,736,750
random,10000,1000,8966,0.99992876985540280647,0.99992876985540280647,0.99992876985540280647,1.00025439337356140547,1.00025439337356140547,1.00025439337356140547,98273,98266,98298,98273,98266,98298,98273,98266,98298
random,10000,1000,9068,0.99974922510557623055,0.99974922510557623055,0.99974922510557623055,0.99974922510557623055,1.0030995776950778,1.0030995776950778,99691,99666,99666,99691,99666,100000,99691,99666,100000
random,10000,1000,9099,0.99984000000000000000,0.99984000000000000000,0.99984000000000000000,0.99984000000000000000,0.97212000000000000000,0.97212000000000000000,100000,99984,99984,100000,99984,97212,100000,99984,97212
random,10000,1000,9466,0.97865217795608220306,0.97865217795608220306,0.97865217795608220306,1.0780318025426093,1.0780318025426093,1.0780318025426093,75277,73670,81151,75277,73670,81151,75277,73670,81151
random,10000,1000,9829,0.99225922167417931230,0.99225922167417931230,0.99225922167417931230,0.99225922167417931230,1.0925707408019258,1.0925707408019258,84746,84090,84090,84746,84090,92591,84746,84090,92591
random,10000,1000,10032,3.9854545454545455,3.9854545454545455,3.9854545454545455,3.9854545454545455,4.2254545454545455,4.2254545454545455,275,1096,1096,275,1096,1162,275,1096,1162
random,10000,1000,10979,0.65906045558445653031,0.65906045558445653031,0.65906045558445653031,0.65906045558445653031,0.75829589343422400883,0.75829589343422400883,50748,33446,33446,50748,33446,38482,50748,33446,38482
random,10000,1000,11150,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,100000,100000,100000,100000,100000,100000,100000,100000,100000
random,10000,1000,11390,1.00002042087421762526,1.00002042087421762526,1.00002042087421762526,1.00002042087421762526,1.00002042087421762526,1.00002042087421762526,97939,97941,97941,97939,97941,97941,97939,97941,97941
random,10000,1000,12117,0.99980000000000000000,0.99980000000000000000,0.99980000000000000000,0.96489000000000000000,0.96489000000000000000,0.96489000000000000000,100000,99980,96489,100000,99980,96489,100000,99980,96489
random,10000,1000,12655,0.59193245778611632270,0.59193245778611632270,0.59193245778611632270,0.65478424015009380863,0.70450281425891181989,0.70450281425891181989,1066,631,698,1066,631,751,1066,631,751
random,10000,1000,12793,0.95833333333333333333,0.95833333333333333333,0.95833333333333333333,1.9375000000000000,1.9375000000000000,1.9375000000000000,48,46,93,48,46,93,48,46,93
random,10000,1000,13577,0.99581677891976822153,0.99581677891976822153,0.99581677891976822153,0.99586681744943606577,1.00062047776788126858,1.00062047776788126858,99923,99505,99510,99923,99505,99985,99923,99505,99985
random,10000,1000,13698,1.00404638787087705206,1.00404638787087705206,1.00404638787087705206,1.00404638787087705206,1.0040664692002611,1.0040664692002611,99595,99998,99998,99595,99998,100000,99595,99998,100000
random,10000,1000,13845,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0.94547000000000000000,0.91820000000000000000,0.91820000000000000000,100000,100000,94547,100000,100000,91820,100000,100000,91820
random,10000,1000,14518,1.00056357431353517643,1.00056357431353517643,1.00056357431353517643,1.00056357431353517643,1.00056357431353517643,1.00056357431353517643,95817,95871,95871,95817,95871,95871,95817,95871,95871
random,10000,1000,14760,1.00029056494126437259,1.00029056494126437259,1.00029056494126437259,0.98879249512265991449,0.98879249512265991449,0.98879249512265991449,24091,24098,23821,24091,24098,23821,24091,24098,23821
random,10000,1000,14954,0.67107567796098326992,0.67107567796098326992,0.67107567796098326992,0.67107567796098326992,0.77010730607396670089,0.77010730607396670089,49671,33333,33333,49671,33333,38252,49671,33333,38252
random,10000,1000,15147,0.71309334835373034974,0.71309334835373034974,0.71309334835373034974,0.71309334835373034974,0.81449382968918019356,0.81449382968918019356,78116,55704,55704,78116,55704,63625,78116,55704,63625
random,10000,1000,15951,0.62926591683939877898,0.62926591683939877898,0.62926591683939877898,0.62926591683939877898,0.72959778902896236139,0.72959778902896236139,88287,55556,55556,88287,55556,64414,88287,55556,64414
random,10000,1000,16047,0.71990098892075543549,0.71990098892075543549,0.71990098892075543549,0.71990098892075543549,0.79736049791148504718,0.79736049791148504718,84031,60494,60494,84031,60494,67003,84031,60494,67003
random,10000,1000,16463,0.54199284527533715517,0.54199284527533715517,0.54199284527533715517,0.54199284527533715517,0.56851621787483722253,0.57435375473364367076,66809,36210,36210,66809,36210,37982,66809,36210,38372
random,10000,1000,17052,0.77186349059642342002,0.77186349059642342002,0.77186349059642342002,0.76277500035009592628,0.82014872074948535899,0.82014872074948535899,71409,55118,54469,71409,55118,58566,71409,55118,58566
random,10000,1000,17165,1.2123893805309735,1.2123893805309735,1.2123893805309735,1.2123893805309735,1.3053097345132743,1.3053097345132743,452,548,548,452,548,590,452,548,590
random,10000,1000,17770,0.68261105512055198077,0.68261105512055198077,0.68261105512055198077,0.68640979920924102644,0.78337468020776804403,0.78337468020776804403,51596,35220,35416,51596,35220,40419,51596,35220,40419
random,10000,1000,17961,4.1428571428571429,4.1428571428571429,4.1428571428571429,4.1428571428571429,5.1428571428571429,5.1428571428571429,7,29,29,7,29,36,7,29,36
random,10000,1000,18166,0.49144143525826687348,0.49144143525826687348,0.49144143525826687348,0.49144143525826687348,0.55318389589710505003,0.55318389589710505003,72851,35802,35802,72851,35802,40300,72851,35802,40300
random,10000,1000,18331,0.97649000000000000000,0.97649000000000000000,0.97649000000000000000,0.94437000000000000000,0.94437000000000000000,0.96258000000000000000,100000,97649,94437,100000,97649,94437,100000,97649,96258
random,10000,1000,18549,0.34615384615384615385,0.34615384615384615385,0.34615384615384615385,0.69230769230769230769,1.3461538461538462,1.3461538461538462,26,9,18,26,9,35,26,9,35
random,10000,1000,18743,0.99697954693203980597,0.99697954693203980597,0.99697954693203980597,0.99697954693203980597,1.0001500225033755,1.0001500225033755,99985,99683,99683,99985,99683,100000,99985,99683,100000
random,10000,1000,18841,0.09264846382058631267,0.09264846382058631267,0.09264846382058631267,0.09264846382058631267,0.19268869110474179112,0.19268869110474179112,39774,3685,3685,39774,3685,7664,39774,3685,7664
random,10000,1000,19291,0.79782864692535255766,0.79782864692535255766,0.79782864692535255766,0.79782864692535255766,0.93128356837177241003,0.93128356837177241003,69634,55556,55556,69634,55556,64849,69634,55556,64849
random,10000,1000,19696,1.00499596231493943472,1.00499596231493943472,1.00554508748317631225,0.98770390309555854643,0.98770390309555854643,1.00579273216689098250,92875,93339,91733,92875,93339,91733,92875,93390,93413
random,10000,1000,20116,1.3861608219574550,1.3861608219574550,1.3854131493898027,1.3861608219574550,1.4766533211133086,1.3874391008634412,41462,57473,57473,41462,57473,61225,41462,57442,57526
random,10000,1000,20951,0.60518207282913165266,0.60518207282913165266,0.60518207282913165266,0.60518207282913165266,0.70505202080832332933,0.60518207282913165266,99960,60494,60494,99960,60494,70477,99960,60494,60494
random,10000,1000,21331,0.62878873622020508409,0.62878873622020508409,0.62878873622020508409,0.62878873622020508409,0.72914638839214976119,0.62878873622020508409,88354,55556,55556,88354,55556,64423,88354,55556,55556
