dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,1000,1000,200,1.00095461888676751358,1.00095461888676751358,1.00095461888676751358,1.00095461888676751358,1.00095461888676751358,1.00095461888676751358,13618,13631,13631,13618,13631,13631,13618,13631,13631
correlated,1000,1000,512,0.96572000000000000000,0.96572000000000000000,0.96572000000000000000,0.96572000000000000000,1.00000000000000000000,1.00000000000000000000,100000,96572,96572,100000,96572,100000,100000,96572,100000
correlated,1000,1000,676,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,891,891,891,891,891,891,891,891,891
correlated,1000,1000,849,0.99191919191919191919,0.99191919191919191919,0.99191919191919191919,0.99191919191919191919,0.99191919191919191919,0.99191919191919191919,495,491,491,495,491,491,495,491,491
correlated,1000,1000,1900,16.0000000000000000,16.0000000000000000,16.0000000000000000,16.0000000000000000,16.0000000000000000,16.0000000000000000,0,16,16,0,16,16,0,16,16
correlated,1000,1000,1914,0.44663000000000000000,0.44663000000000000000,0.44663000000000000000,0.44663000000000000000,0.95211000000000000000,0.95211000000000000000,100000,44663,44663,100000,44663,95211,100000,44663,95211
correlated,1000,1000,2096,0.36330000000000000000,0.36330000000000000000,0.36330000000000000000,0.49855000000000000000,1.00000000000000000000,1.00000000000000000000,100000,36330,49855,100000,36330,100000,100000,36330,100000
correlated,1000,1000,3041,96.1969696969696970,96.1969696969696970,96.1969696969696970,96.1969696969696970,96.9848484848484848,96.9848484848484848,66,6349,6349,66,6349,6401,66,6349,6401
correlated,1000,1000,3810,1.01785130718954248366,1.01785130718954248366,1.01785130718954248366,1.01785130718954248366,0.99943831699346405229,0.99943831699346405229,97920,99668,99668,97920,99668,97865,97920,99668,97865
correlated,1000,1000,3826,2911.0000000000000000,2911.0000000000000000,2911.0000000000000000,2911.0000000000000000,2911.0000000000000000,2911.0000000000000000,0,2911,2911,0,2911,2911,0,2911,2911
correlated,1000,1000,4272,0.34259000000000000000,0.34259000000000000000,0.34259000000000000000,0.34259000000000000000,1.00000000000000000000,1.00000000000000000000,100000,34259,34259,100000,34259,100000,100000,34259,100000
correlated,1000,1000,4327,56.0000000000000000,56.0000000000000000,56.0000000000000000,56.0000000000000000,56.0000000000000000,56.0000000000000000,0,56,56,0,56,56,0,56,56
correlated,1000,1000,4595,506.7272727272727273,506.7272727272727273,506.7272727272727273,506.7272727272727273,491.3939393939393939,491.3939393939393939,66,33444,33444,66,33444,32432,66,33444,32432
correlated,1000,1000,4817,99501.000000000000,99501.000000000000,99501.000000000000,99501.000000000000,32270.000000000000,32270.000000000000,0,99501,99501,0,99501,32270,0,99501,32270
correlated,1000,1000,5322,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,0.70370000000000000000,1.00000000000000000000,1.00000000000000000000,100000,70370,70370,100000,70370,100000,100000,70370,100000
correlated,1000,1000,6135,0.99997000000000000000,0.99997000000000000000,0.99997000000000000000,0.99994000000000000000,0.99314000000000000000,0.99314000000000000000,100000,99997,99994,100000,99997,99314,100000,99997,99314
correlated,1000,1000,6164,0.99590828147822085276,0.99590828147822085276,0.99590828147822085276,0.99638848316292842994,1.0004201764741191,1.0004201764741191,99958,99549,99597,99958,99549,100000,99958,99549,100000
correlated,1000,1000,6455,0.58289880784958566823,0.58289880784958566823,0.58289880784958566823,0.58289880784958566823,1.0818061836041455,1.0818061836041455,92438,53882,53882,92438,53882,100000,92438,53882,100000
correlated,1000,1000,6639,1.06598794172549187890,1.06598794172549187890,1.06598794172549187890,1.06598794172549187890,0.99895938378355182698,0.99895938378355182698,93214,99365,99365,93214,99365,93117,93214,99365,93117
correlated,1000,1000,6779,4.7811336367397600,4.7811336367397600,4.7811336367397600,4.7811336367397600,5.7633429871741829,5.7633429871741829,2417,11556,11556,2417,11556,13930,2417,11556,13930
correlated,1000,1000,6780,23.0773686388084402,23.0773686388084402,23.0773686388084402,23.0773686388084402,23.1791477037649979,23.1791477037649979,2417,55778,55778,2417,55778,56024,2417,55778,56024
correlated,1000,1000,8193,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,0.55778000000000000000,1.00000000000000000000,1.00000000000000000000,100000,55778,55778,100000,55778,100000,100000,55778,100000
correlated,1000,1000,8930,617.2878787878787879,617.2878787878787879,617.2878787878787879,617.2878787878787879,601.9393939393939394,601.9393939393939394,66,40741,40741,66,40741,39728,66,40741,39728
correlated,1000,1000,9001,0.99521531100478468900,0.99521531100478468900,0.99521531100478468900,0.99521531100478468900,1.9952153110047847,1.9952153110047847,836,832,832,836,832,1668,836,832,1668
correlated,1000,1000,9126,0.99778000000000000000,0.99778000000000000000,0.99778000000000000000,0.99778000000000000000,1.00000000000000000000,1.00000000000000000000,100000,99778,99778,100000,99778,100000,100000,99778,100000
correlated,1000,1000,9470,0.99853000000000000000,0.99853000000000000000,0.99845000000000000000,0.99853000000000000000,0.99853000000000000000,0.99853000000000000000,100000,99853,99853,100000,99853,99853,100000,99845,99853
