dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,10000,100,1793,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,2789,2789,2789,2789,2789,2789,2789,2789,2789
random,10000,100,1886,0.27660878447395301328,0.27660878447395301328,0.27660878447395301328,0.27660878447395301328,0.52992849846782431052,0.52992849846782431052,4895,1354,1354,4895,1354,2594,4895,1354,2594
random,10000,100,3039,0.86564050841824162474,0.86564050841824162474,0.86564050841824162474,0.86564050841824162474,0.86726799692840196674,0.86726799692840196674,87251,75528,75528,87251,75528,75670,87251,75528,75670
random,10000,100,4881,1.00048799685163321527,1.00048799685163321527,1.00048799685163321527,0.89504919323101141283,0.89504919323101141283,0.89504919323101141283,63525,63556,56858,63525,63556,56858,63525,63556,56858
random,10000,100,5066,0.60491462509279881218,0.60491462509279881218,0.60491462509279881218,0.60491462509279881218,0.72464736451373422420,0.72464736451373422420,67350,40741,40741,67350,40741,48805,67350,40741,48805
random,10000,100,5322,0.74449851883199322895,0.74449851883199322895,0.74449851883199322895,0.74449851883199322895,0.84027719001269572577,0.84027719001269572577,94520,70370,70370,94520,70370,79423,94520,70370,79423
random,10000,100,5360,1.00012578220810666331,1.00012578220810666331,1.00012578220810666331,1.00033541922161776883,1.00033541922161776883,1.00033541922161776883,95403,95415,95435,95403,95415,95435,95403,95415,95435
random,10000,100,5418,1.00442794751016208910,1.00442794751016208910,1.00442794751016208910,1.00442794751016208910,0.98421472015170006960,0.98421472015170006960,99143,99582,99582,99143,99582,97578,99143,99582,97578
random,10000,100,6065,1.00036229633770159203,1.00036229633770159203,1.00036229633770159203,0.96987764735109620520,0.96987764735109620520,1.00144918535080636813,96606,96641,93696,96606,96641,93696,96606,96641,96746
random,10000,100,8166,0.63171604602700009060,0.63171604602700009060,0.63171604602700009060,0.63171604602700009060,0.73993159373018030262,0.73993159373018030262,88296,55778,55778,88296,55778,65333,88296,55778,65333
