dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,1000,10,284,0.93983607510317967796,0.93928094159051105190,0.94134142082682010177,0.93918004334792104367,0.95626758634428148111,0.95204044301060963847,481684,452704,452388,481908,452647,460833,481072,452853,458000
random,1000,10,336,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.80989700000000000000,1000000,336667,336667,1000000,336667,336667,1000000,336667,809897
random,1000,10,640,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.70045200000000000000,1000000,555556,555556,1000000,555556,555556,1000000,555556,700452
random,1000,10,890,1.3761162013608677,1.3752135017253415,1.3757958628750864,1.3761162013608677,1.3808053903925461,1.3793049649956539,403713,555556,555556,403978,555556,557815,403807,555556,556973
random,1000,10,1358,10.9010698993615647,10.9336701631061563,10.9736311223308677,10.9011137028154670,10.9336811466857049,5.7568595460408100,91317,995453,995457,91045,995456,995457,90713,995451,522222
random,1000,10,1424,1.2329234998026911,1.2317167365531799,1.2330455265824320,1.2329234998026911,1.0488080981846808,1.0451269768414333,808377,996667,996667,809169,996667,848663,808297,996667,844773
random,1000,10,1540,0.00997500000000000000,0.00997500000000000000,0.00997500000000000000,0.00997500000000000000,0.00500000000000000000,0.47823000000000000000,1000000,9975,9975,1000000,9975,5000,1000000,9975,478230
random,1000,10,1902,11.2819742391945213,11.4014231368594738,11.3710645105993943,11.2819742391945213,11.4584288202401687,6.3366893320381692,88196,995025,995025,87272,995025,1000000,87505,995025,554492
random,1000,10,1990,0.50049600000000000000,0.50000200000000000000,0.49972400000000000000,0.50004900000000000000,0.46810700000000000000,0.61301300000000000000,1000000,500496,500049,1000000,500002,468107,1000000,499724,613013
random,1000,10,2265,1.3061489802446455,1.3025543763091541,1.3052205058941196,1.3042998557990835,1.3081247364620446,1.3121310298253563,584601,763576,762495,585779,763009,766272,584905,763430,767472
random,1000,10,2557,331667.000000000000,331667.000000000000,331667.000000000000,331667.000000000000,331667.000000000000,331667.000000000000,0,331667,331667,0,331667,331667,0,331667,331667
random,1000,10,2734,0.99962558147197402434,0.99924183625461116389,1.00069875962668841918,1.00475661298004199478,1.00427028987027308878,1.00201230776612845181,333851,333726,335439,333701,333448,335126,333448,333681,334119
random,1000,10,2922,1.1229444602982093,1.1226470046302075,1.1241687024468044,1.1227348933437968,1.1249829116218803,1.1254705106956566,672816,755535,755394,672972,755510,757082,672142,755601,756476
random,1000,10,3085,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,10,3542,344630.000000000000,344338.000000000000,344422.000000000000,344461.000000000000,344481.000000000000,344404.000000000000,0,344630,344461,0,344338,344481,0,344422,344404
random,1000,10,4191,0.78191400000000000000,0.78171000000000000000,0.78154200000000000000,0.78286200000000000000,0.40643700000000000000,0.87668000000000000000,1000000,781914,782862,1000000,781710,406437,1000000,781542,876680
random,1000,10,4294,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
random,1000,10,4642,0.33363817362559896354,0.33357964239729546305,0.33356852585030022721,0.33330475455593343050,0.64742866022668890848,0.65206940346192814525,629838,210138,209928,630644,210370,408297,630689,210378,411253
random,1000,10,4694,0.56284776832158250000,0.56295286300975699077,0.56301839664433699174,0.56257175847668696727,0.56397957048314107091,0.56521376658787528076,612297,344630,344461,611664,344338,344966,611742,344422,345765
random,1000,10,4709,0.54449000000000000000,0.54442300000000000000,0.54447200000000000000,0.54438100000000000000,0.54448800000000000000,0.68937100000000000000,1000000,544490,544381,1000000,544423,544488,1000000,544472,689371
random,1000,10,4864,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,10,5831,1.0827225973579665,1.0830524847754336,1.0825872031699567,1.0827204223077500,1.0545517047815691,1.0542433185375921,919519,995584,995582,919238,995583,969384,919634,995584,969518
random,1000,10,5896,50005.000000000000,49481.000000000000,49716.000000000000,49833.000000000000,49820.000000000000,49503.000000000000,0,50005,49833,0,49481,49820,0,49716,49503
random,1000,10,6065,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,522326.000000000000,0,995556,995556,0,995556,995556,0,995556,522326
random,1000,10,6646,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,10,7382,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.02392200000000000000,0.49580000000000000000,1000000,115556,115556,1000000,115556,23922,1000000,115556,495800
random,1000,10,7451,0.92262183403961762097,0.92220727888712078435,0.92246648826588901172,0.92196687855195295818,0.92257173656383142549,0.92234844402290674197,974112,898737,898099,974050,898276,898631,974211,898677,898562
random,1000,10,8038,0.99779351032448377581,0.99959050445103857567,0.99637320438060019912,0.99683775811209439528,1.00322848664688427300,0.99503982363817380174,169500,169126,168964,168500,168431,169044,168744,168132,167907
random,1000,10,8916,997778.000000000000,997778.000000000000,997778.000000000000,997778.000000000000,997778.000000000000,997778.000000000000,0,997778,997778,0,997778,997778,0,997778,997778
random,1000,10,9356,0.01148066245960017066,0.01148550087996006013,0.01148775894538606403,0.01147508526141722183,0.07840290735456951684,0.51483573969449675664,717206,8234,8230,717078,8236,56221,716850,8235,369060
random,1000,10,9632,0.00665800000000000000,0.00665800000000000000,0.00665800000000000000,0.00665800000000000000,0.00504400000000000000,0.47823000000000000000,1000000,6658,6658,1000000,6658,5044,1000000,6658,478230
random,1000,10,10331,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33333300000000000000,0.47823000000000000000,1000000,334444,334444,1000000,334444,333333,1000000,334444,478230
random,1000,10,10425,0.90997000000000000000,0.91005400000000000000,0.90983700000000000000,0.90949400000000000000,0.78949900000000000000,0.92818300000000000000,1000000,909970,909494,1000000,910054,789499,1000000,909837,928183
random,1000,10,11000,1.1640978500999342,1.1645363917256806,1.1645714165372857,1.1640943415865264,1.0506153325978279,1.0478372221721728,855063,995377,995374,854741,995377,898004,854711,995372,895598
