dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,10000,10,1389,0.66208662879135708326,0.66165736024912870785,0.66209059386472205199,0.66208662879135708326,0.97866207031382476804,0.97869800514633518253,500942,331667,331667,501267,331667,490571,500939,331667,490268
random,10000,10,1514,0.04478255208917900899,0.04494680731224851191,0.04482118705375397100,0.04478255208917900899,0.97214424433039395482,0.97252764534870658860,222743,9975,9975,221929,9975,215747,222551,9975,216437
random,10000,10,1990,0.50009500000000000000,0.50015500000000000000,0.49991400000000000000,0.50009500000000000000,0.34308100000000000000,0.97508700000000000000,1000000,500095,500095,1000000,500155,343081,1000000,499914,975087
random,10000,10,2572,0.99666700000000000000,0.99666700000000000000,0.99666700000000000000,0.99666700000000000000,0.99666700000000000000,0.99666700000000000000,1000000,996667,996667,1000000,996667,996667,1000000,996667,996667
random,10000,10,2689,1.3402188156555264,1.3403530861188958,1.3417100000948660,1.3402188156555264,1.0085658584135494,1.0085962137628865,738704,990025,990025,738630,990025,744957,737883,990025,744226
random,10000,10,2728,1.2353300884518456,1.2359102706711161,1.2365185198008661,1.2353300884518456,1.2359411692003461,1.0043390519622803,809480,999975,999975,809100,999975,1000000,808702,999975,812211
random,10000,10,2734,1.00130773845230953809,0.99963398645749892746,1.00005708825844755993,1.00321235752849430114,1.00336612454660822450,1.00278230143802318384,333400,333836,334471,333321,333199,334443,332818,332837,333744
random,10000,10,3046,58997.000000000000,59102.000000000000,58968.000000000000,58997.000000000000,59102.000000000000,58968.000000000000,0,58997,58997,0,59102,59102,0,58968,58968
random,10000,10,3451,268599.000000000000,268666.000000000000,268601.000000000000,268599.000000000000,34460.000000000000,34797.000000000000,0,268599,268599,0,268666,34460,0,268601,34797
random,10000,10,3688,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,34460.000000000000,34797.000000000000,0,37037,37037,0,37037,34460,0,37037,34797
random,10000,10,4196,0.32823100000000000000,0.32823400000000000000,0.32825600000000000000,0.32823100000000000000,0.01347000000000000000,0.97296400000000000000,1000000,328231,328231,1000000,328234,13470,1000000,328256,972964
random,10000,10,5240,0.51914852654094923690,0.51893941538478958721,0.51876607702255664630,0.51914852654094923690,1.0258083327199950,1.00451076329246102604,706399,366726,366726,706516,366639,724750,706754,366640,709942
random,10000,10,6258,0.99907577885644007481,0.99936716917313742249,0.99944412755274430231,0.99793323775770851375,0.99797785092105980979,0.99841957833623380068,274826,274572,274258,274955,274781,274399,275243,275090,274808
random,10000,10,6456,0.76175298414656835385,0.76164750817143486724,0.76200880850084018793,0.76175298414656835385,1.2241849988370243,0.97103556224004389553,816984,622340,622340,816870,622167,1000000,816484,622168,792835
random,10000,10,6646,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,34460.000000000000,34797.000000000000,0,37037,37037,0,37037,34460,0,37037,34797
random,10000,10,6734,2.3661416408219210,2.3721345933262299,2.3636569333325598,2.3661416408219210,2.6726172800689386,0.93085522995074348903,172182,407407,407407,171747,407407,459014,172363,407407,160445
random,10000,10,6780,703704.000000000000,703704.000000000000,703704.000000000000,703704.000000000000,931080.000000000000,34797.000000000000,0,703704,703704,0,703704,931080,0,703704,34797
random,10000,10,7274,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.03890400000000000000,0.99944400000000000000,1000000,115556,115556,1000000,115556,38904,1000000,115556,999444
random,10000,10,7314,1.4129833414396887,1.4124716696843465,1.4092420414350682,1.4129833414396887,1.7877967560997227,1.0306291056088934,394752,557778,557778,394895,557778,705992,395800,557778,407923
random,10000,10,7556,0.69791300000000000000,0.69777300000000000000,0.69854700000000000000,0.70009400000000000000,0.35803300000000000000,0.98974100000000000000,1000000,697913,700094,1000000,697773,358033,1000000,698547,989741
random,10000,10,9591,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,0.000001000000000000000000,0.99833300000000000000,1000000,339983,339983,1000000,339983,1,1000000,339983,998333
random,10000,10,9757,0.35096563476285146265,0.34929765506270683313,0.34975839901934233220,0.99609485941493893780,0.99417671538341358104,0.99588066764542383511,70420,24715,70145,70407,24593,69997,70157,24538,69868
random,10000,10,10275,0.88496437314666586279,0.88428672439541763507,0.88576963999301265662,0.88496437314666586279,1.4868699327484360,1.0134363437137730,630283,557778,557778,630766,557778,937867,629710,557778,638171
random,10000,10,10764,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.33666700000000000000,0.99833300000000000000,1000000,557778,557778,1000000,557778,336667,1000000,557778,998333
random,10000,10,11199,0.99987300000000000000,0.99987400000000000000,0.99987400000000000000,0.99987300000000000000,0.03440500000000000000,0.99498800000000000000,1000000,999873,999873,1000000,999874,34405,1000000,999874,994988
