dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,100,10000,546,0.33366200000000000000,0.33373200000000000000,0.33368800000000000000,0.33368000000000000000,0.33374800000000000000,0.33371600000000000000,1000000,333662,333680,1000000,333732,333748,1000000,333688,333716
correlated,100,10000,966,0.91843200000000000000,0.91756900000000000000,0.91989100000000000000,0.91740400000000000000,0.91952600000000000000,0.91836600000000000000,1000000,918432,917404,1000000,917569,919526,1000000,919891,918366
correlated,100,10000,1067,23804.785714285714,13329.360000000000,23802.928571428571,23804.642857142857,13329.240000000000,23802.571428571429,14,333267,333265,25,333234,333231,14,333241,333236
correlated,100,10000,1332,1.00024806176738007764,1.00026006787771608390,1.00024305930647077887,1.00024806176738007764,1.00025906761664794511,1.00024305930647077887,999751,999999,999999,999739,999999,999998,999756,999999,999999
correlated,100,10000,1358,1.1000599807401293,1.1000455627996249,1.0991589855923499,1.1000588801760902,1.1000587694082119,1.0991567862868906,908625,999542,999541,908636,999541,999553,909378,999551,999549
correlated,100,10000,1374,1.00388796614044824422,1.00382932221399686765,1.00365343153692855970,1.00388796614044824422,1.00382932221399686765,1.00365343153692855970,992807,996667,996667,992865,996667,996667,993039,996667,996667
correlated,100,10000,1479,0.00527240773286467487,0.00522951772225450320,0.00586854460093896714,0.00527240773286467487,0.00522951772225450320,0.00586854460093896714,1707,9,9,1721,9,9,1704,10,10
correlated,100,10000,1481,0.87913385826771653543,0.92117025599349857781,0.96227867590454195535,1.0366141732283465,1.0024380333197887,0.84680523479599692071,2540,2233,2633,2461,2267,2467,2598,2500,2200
correlated,100,10000,1769,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,1000000,333333,333333,1000000,333333,333333,1000000,333333,333333
correlated,100,10000,1916,16048.790322580645,14214.642857142857,16311.885245901639,16048.790322580645,14214.642857142857,16311.885245901639,62,995025,995025,70,995025,995025,61,995025,995025
correlated,100,10000,2071,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,1000000,111111,111111,1000000,111111,111111,1000000,111111,111111
correlated,100,10000,2537,0.33168756462900699843,0.33169021831528206974,0.33168723292120819370,0.33168756462900699843,0.33169021831528206974,0.33168723292120819370,999938,331667,331667,999930,331667,331667,999939,331667,331667
correlated,100,10000,2689,990025.000000000000,990025.000000000000,990025.000000000000,990025.000000000000,990025.000000000000,990025.000000000000,0,990025,990025,0,990025,990025,0,990025,990025
correlated,100,10000,3129,703704.000000000000,703704.000000000000,703704.000000000000,703704.000000000000,703704.000000000000,703704.000000000000,0,703704,703704,0,703704,703704,0,703704,703704
correlated,100,10000,3485,0.33352202037820084569,0.33354302075905514646,0.33352635379350211122,0.33353102135030583303,0.33355102155113356222,0.33353835506563695752,999892,333486,333495,999901,333510,333518,999894,333491,333503
correlated,100,10000,3570,11575.000000000000,12346.666666666667,11821.276595744681,11575.000000000000,12346.711111111111,11821.276595744681,48,555600,555600,45,555600,555602,47,555600,555600
correlated,100,10000,3871,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,100,10000,4027,0.01649888143176733781,0.01694675893235418726,0.01632240358226202513,0.01649888143176733781,0.01708798192345713882,0.01675574173046367182,7152,118,118,7081,120,121,6923,113,116
correlated,100,10000,4595,0.33333700000000000000,0.33334100000000000000,0.33333900000000000000,0.33333700000000000000,0.33334100000000000000,0.33334000000000000000,1000000,333337,333337,1000000,333341,333341,1000000,333339,333340
correlated,100,10000,4827,11350.064516129032,10052.9142857142857143,11536.131147540984,11350.064516129032,10052.9142857142857143,11536.131147540984,62,703704,703704,70,703704,703704,61,703704,703704
correlated,100,10000,5587,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,100,10000,5783,0.99512179999379974579,0.99513673738381872621,0.99511381432494434789,0.99512179999379974579,0.99513773743782164237,0.99511681443894868005,999959,995081,995081,999946,995083,995084,999962,995076,995079
correlated,100,10000,6006,1.00500701546221974664,1.00494830616448359042,1.00477221941937829229,1.00500701546221974664,1.00494830616448359042,1.00477221941937829229,992807,997778,997778,992865,997778,997778,993039,997778,997778
correlated,100,10000,6019,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,0,110556,110556,0,110556,110556,0,110556,110556
correlated,100,10000,6379,7111.0000000000000000,7260.0000000000000000,6807.0000000000000000,7104.0000000000000000,7292.0000000000000000,6983.0000000000000000,0,7111,7104,0,7260,7292,0,6807,6983
correlated,100,10000,6479,333355.000000000000,333378.000000000000,333373.000000000000,333356.000000000000,333379.000000000000,333376.000000000000,0,333355,333356,0,333378,333379,0,333373,333376
