dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,1000,1000,215,0.40806125821734180469,0.40913258486543411261,0.40875630456135703959,0.40806125821734180469,0.40913258486543411261,0.40875630456135703959,272290,111111,111111,271577,111111,111111,271827,111111,111111
random,1000,1000,378,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,1000000,336667,336667,1000000,336667,336667,1000000,336667,336667
random,1000,1000,946,0.99260800000000000000,0.99246400000000000000,0.99245800000000000000,0.99233200000000000000,0.99263700000000000000,0.99262700000000000000,1000000,992608,992332,1000000,992464,992637,1000000,992458,992627
random,1000,1000,1136,0.69449187820177862006,0.69463515637405739821,0.69484453560797458539,0.69449187820177862006,0.69463515637405739821,0.69484453560797458539,799946,555556,555556,799781,555556,555556,799540,555556,555556
random,1000,1000,1434,1.0190162996854447,1.0206022187004754,0.99971022891915386844,1.0057191878753217,0.99077942659559141334,0.95885250651984931904,6994,7127,7034,6941,7084,6877,6902,6900,6618
random,1000,1000,2071,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,1000000,111111,111111,1000000,111111,111111,1000000,111111,111111
random,1000,1000,2604,1.00000400004000040000,0.99999899999499997500,1.00000400004000040000,1.00000400004000040000,0.99999899999499997500,1.00000400004000040000,999990,999994,999994,999995,999994,999994,999990,999994,999994
random,1000,1000,2730,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,0,995000,995000,0,995000,995000,0,995000,995000
random,1000,1000,2922,1.1208415709162874,1.1211665791490877,1.1210050942527256,1.1210547592279365,1.1212148647098943,1.1207818561743429,497213,557297,557403,497043,557268,557292,497227,557394,557283
random,1000,1000,3403,973.0000000000000000,964.0000000000000000,1029.0000000000000000,1052.0000000000000000,1003.0000000000000000,973.0000000000000000,0,973,1052,0,964,1003,0,1029,973
random,1000,1000,3460,4.0000000000000000,4.0000000000000000,5.0000000000000000,5.0000000000000000,4.0000000000000000,5.0000000000000000,0,4,5,0,4,4,0,5,5
random,1000,1000,3542,333336.000000000000,333336.000000000000,333336.000000000000,333336.000000000000,333336.000000000000,333336.000000000000,0,333336,333336,0,333336,333336,0,333336,333336
random,1000,1000,3570,1.3942049498341188,1.3934496129864006,1.3938726406455028,1.3942049498341188,1.3934496129864006,1.3938726406455028,398478,555560,555560,398694,555560,555560,398573,555560,555560
random,1000,1000,3710,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,0,407407,407407,0,407407,407407,0,407407,407407
random,1000,1000,4710,0.55908000000000000000,0.55914500000000000000,0.55920100000000000000,0.55921800000000000000,0.55908400000000000000,0.55906500000000000000,1000000,559080,559218,1000000,559145,559084,1000000,559201,559065
random,1000,1000,5008,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,5443,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,5685,0.99099400000000000000,0.99099500000000000000,0.99076200000000000000,0.99099000000000000000,0.99089100000000000000,0.99082900000000000000,1000000,990994,990990,1000000,990995,990891,1000000,990762,990829
random,1000,1000,5898,996667.000000000000,996667.000000000000,996667.000000000000,996667.000000000000,996667.000000000000,996667.000000000000,0,996667,996667,0,996667,996667,0,996667,996667
random,1000,1000,6287,1.0142429960595431,1.0130352258136549,1.0139053103597293,1.0127788423100336,1.0133204206806327,1.0139987812368746,823001,834723,833518,823998,834739,834974,823786,835241,835318
random,1000,1000,6714,1.0614320880393860,1.0612159955120636,1.0617363673946040,1.0614320880393860,1.0612159955120636,1.0617363673946040,662976,703704,703704,663111,703704,703704,662786,703704,703704
random,1000,1000,6963,0.93298600000000000000,0.93249000000000000000,0.93203500000000000000,0.93287900000000000000,0.93235400000000000000,0.93132200000000000000,1000000,932986,932879,1000000,932490,932354,1000000,932035,931322
random,1000,1000,7274,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,1000000,115556,115556,1000000,115556,115556,1000000,115556,115556
random,1000,1000,7836,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1000000,703704,703704,1000000,703704,703704,1000000,703704,703704
random,1000,1000,7875,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1000000,703704,703704,1000000,703704,703704,1000000,703704,703704
random,1000,1000,7916,1.01237239953482362062,1.01245039103174228436,1.01247555214258909955,1.01237239953482362062,1.01245039103174228436,1.01247555214258909955,402428,407407,407407,402397,407407,407407,402387,407407,407407
random,1000,1000,8818,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,0,3,3,0,3,3,0,3,3
random,1000,1000,9068,1.0057665419337110,1.0056486902554032,1.00560907391189723668,1.0057665419337110,1.0056486902554032,1.00560907391189723668,989848,995556,995556,989964,995556,995556,990003,995556,995556
random,1000,1000,9138,1.6407422146068413,1.6412469014160960,1.6412388023857539,1.6407422146068413,1.6412469014160960,1.6412388023857539,608126,997778,997778,607939,997778,997778,607942,997778,997778
random,1000,1000,9157,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,0,110556,110556,0,110556,110556,0,110556,110556
random,1000,1000,9350,0.39555695109506240678,0.39252336448598130841,0.39749250906797035168,0.39571394928958316979,0.39252336448598130841,0.39733480523576722914,12739,5039,5041,12840,5040,5040,12682,5041,5039
random,1000,1000,9466,0.99831909079078644862,1.00495763769106431911,1.00133904949083722990,0.99970719646033054266,1.00474067324068951302,1.00734317462717190588,92212,92057,92185,92181,92638,92618,92603,92727,93283
random,1000,1000,10486,927.0000000000000000,924.0000000000000000,924.0000000000000000,932.0000000000000000,928.0000000000000000,913.0000000000000000,0,927,932,0,924,928,0,924,913
random,1000,1000,10963,0.98967889908256880734,1.0464135021097046,0.98857795545402627070,0.99598623853211009174,1.0373719107896323,0.99657338663620788121,1744,1726,1737,1659,1736,1721,1751,1731,1745
