dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,1000,1000,513,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
correlated,1000,1000,1136,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,1.00000000000000000000,1.00000000000000000000,1000000,555556,555556,1000000,555556,1000000,1000000,555556,1000000
correlated,1000,1000,1479,0.00510493477027793534,0.00489549990585577104,0.00493639643060565787,0.00510493477027793534,0.94012427038222556957,0.95424340231630909436,5289,27,27,5311,26,4993,5267,26,5026
correlated,1000,1000,2574,0.99666700000000000000,0.99666700000000000000,0.99666700000000000000,0.99666700000000000000,0.33333300000000000000,1.00000000000000000000,1000000,996667,996667,1000000,996667,333333,1000000,996667,1000000
correlated,1000,1000,3039,11.4683315811397854,11.6205925538548183,11.6384852576633951,11.4618848312935156,11.6194259508819921,11.5233479110824483,50413,578153,577828,49717,577741,577683,49619,577490,571777
correlated,1000,1000,3775,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,1000,1000,4057,1.00584919628524727147,0.99964420197467904053,0.99060427549924048757,1.9637760300229423,1.9766062798351469,1.9770738394279575,136429,137227,267916,134908,134860,266660,134955,133687,266816
correlated,1000,1000,4327,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,0,556,556,0,556,556,0,556,556
correlated,1000,1000,5211,0.38706900000000000000,0.38614500000000000000,0.38551900000000000000,0.38618500000000000000,0.30836000000000000000,0.97447300000000000000,1000000,387069,386185,1000000,386145,308360,1000000,385519,974473
correlated,1000,1000,5216,0.34227400000000000000,0.34198900000000000000,0.34190900000000000000,0.39074400000000000000,0.34194000000000000000,1.00000000000000000000,1000000,342274,390744,1000000,341989,341940,1000000,341909,1000000
correlated,1000,1000,5585,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,1.00000000000000000000,1.00000000000000000000,1000000,407407,407407,1000000,407407,1000000,1000000,407407,1000000
correlated,1000,1000,5898,996667.000000000000,996667.000000000000,996667.000000000000,996667.000000000000,998513.000000000000,330403.000000000000,0,996667,996667,0,996667,998513,0,996667,330403
correlated,1000,1000,6137,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,330952.000000000000,0,995556,995556,0,995556,995556,0,995556,330952
correlated,1000,1000,6164,1.0189354744615196,1.0188499667907366,1.0187467510406903,1.0189354744615196,1.00114518230299333666,1.00116962535150158201,977055,995556,995556,977137,995556,978256,977236,995556,978379
correlated,1000,1000,6287,1.0125761931096512,1.0137755850923811,1.0146812645747423,1.0151869655847194,1.0136336562921162,1.0133872156218172,822745,833092,835240,824357,835713,835596,823771,835865,834799
correlated,1000,1000,6293,1.00377342906018575878,1.00393161465400271370,1.00519457956914523975,0.95370811135093542350,0.95274572591587516961,1.00383404273801250869,920118,923590,877524,921250,924872,877717,920960,925744,924491
correlated,1000,1000,6462,0.55890298338032423220,0.55886109435838041601,0.55872548166507136835,0.55868494827667254428,1.0001630265733315,1.0001870349755404,999839,558813,558595,999837,558770,1000000,999813,558621,1000000
correlated,1000,1000,6514,6667.0000000000000000,6557.0000000000000000,6507.0000000000000000,6560.0000000000000000,6546.0000000000000000,6576.0000000000000000,0,6667,6560,0,6557,6546,0,6507,6576
correlated,1000,1000,7286,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.78572200000000000000,0.78515100000000000000,1000000,115556,115556,1000000,115556,785722,1000000,115556,785151
