dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,100,100,139,1.00322571098813293481,1.00486816016098961262,1.00464859482295410067,0.98476759490675697659,0.98039698203097700103,0.99630874630259421310,202746,203400,203733,202857,203800,199767,203183,199200,202433
correlated,100,100,269,0.31232767232767232767,0.29626373626373626374,0.28982425166519540968,0.27895032501404381671,0.29331525207402680281,0.29112156987874920230,25025,7816,7414,24922,7223,6952,25072,7354,7299
correlated,100,100,378,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.99953500000000000000,1000000,336667,336667,1000000,336667,336667,1000000,336667,999535
correlated,100,100,512,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,1000000,555556,555556,1000000,555556,555556,1000000,555556,555556
correlated,100,100,546,0.36758400000000000000,0.36730700000000000000,0.36720700000000000000,0.97269200000000000000,0.36641500000000000000,0.97462400000000000000,1000000,367584,367307,1000000,367207,972692,1000000,366415,974624
correlated,100,100,778,996667.000000000000,996667.000000000000,996667.000000000000,996667.000000000000,996667.000000000000,338500.000000000000,0,996667,996667,0,996667,996667,0,996667,338500
correlated,100,100,1378,996667.000000000000,996667.000000000000,996667.000000000000,341600.000000000000,996667.000000000000,338500.000000000000,0,996667,996667,0,996667,341600,0,996667,338500
correlated,100,100,1600,0.34053300000000000000,0.34075600000000000000,0.34053300000000000000,0.32998600000000000000,0.33991100000000000000,0.99314200000000000000,1000000,340533,340756,1000000,340533,329986,1000000,339911,993142
correlated,100,100,2439,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.77089200000000000000,0.11111100000000000000,0.77397900000000000000,1000000,111111,111111,1000000,111111,770892,1000000,111111,773979
correlated,100,100,2485,0.97714919793168629500,0.96481899029389279735,0.96497701505642932775,0.97836283928617546034,0.97987492875330802629,0.97086999275019496970,620022,605854,598209,619536,597838,606131,619327,606863,601286
correlated,100,100,2974,10.0000000000000000,11.0000000000000000,11.0000000000000000,12.0000000000000000,12.0000000000000000,12.0000000000000000,0,10,11,0,11,12,0,12,12
correlated,100,100,2987,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,0,333333,333333,0,333333,333333,0,333333,333333
correlated,100,100,3041,385941.000000000000,386700.000000000000,386507.000000000000,384272.000000000000,384570.000000000000,385219.000000000000,0,385941,386700,0,386507,384272,0,384570,385219
correlated,100,100,3071,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,0,407407,407407,0,407407,407407,0,407407,407407
correlated,100,100,3432,1.4465901320288254,1.3539485911665176,1.4518323059573210,1.3000864966660462,1.4372411407756364,1.3052590562419551,456264,660027,617758,456665,663001,593704,456812,656549,596258
correlated,100,100,3542,333354.000000000000,333355.000000000000,333356.000000000000,333358.000000000000,333357.000000000000,333357.000000000000,0,333354,333355,0,333356,333358,0,333357,333357
correlated,100,100,3656,0.41011086090595294778,0.41011086090595294778,0.41013810967230789829,1.0067036395356680,0.41018146744580341429,1.0068100632679444,993407,407407,407407,993341,407407,1000000,993236,407407,1000000
correlated,100,100,3688,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,100,100,4053,0.52670500000000000000,0.53245700000000000000,0.53023300000000000000,0.52180600000000000000,0.52112000000000000000,0.52486000000000000000,1000000,526705,532457,1000000,530233,521806,1000000,521120,524860
correlated,100,100,4150,20741.000000000000,43031.000000000000,20554.000000000000,19040.0000000000000000,19847.0000000000000000,19967.0000000000000000,0,20741,43031,0,20554,19040,0,19847,19967
correlated,100,100,4568,0.34742500000000000000,0.34749800000000000000,0.34725900000000000000,0.32202400000000000000,0.34599600000000000000,1.00000000000000000000,1000000,347425,347498,1000000,347259,322024,1000000,345996,1000000
correlated,100,100,4595,0.33519900000000000000,0.34592200000000000000,0.33503300000000000000,0.33484000000000000000,0.33495500000000000000,0.99782200000000000000,1000000,335199,345922,1000000,335033,334840,1000000,334955,997822
correlated,100,100,5008,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,100,100,5419,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,100,100,5511,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1.00000000000000000000,1000000,703704,703704,1000000,703704,703704,1000000,703704,1000000
correlated,100,100,6161,1.0777273194732370,1.0777273194732370,1.0773494473957313,1.0086323788334114,1.0770370867217614,1.0064640227100861,923755,995556,995556,924079,995556,932056,924347,995556,930322
correlated,100,100,6330,0.98393800000000000000,0.98368300000000000000,0.98373300000000000000,0.94677500000000000000,0.98476000000000000000,0.94473100000000000000,1000000,983938,983683,1000000,983733,946775,1000000,984760,944731
correlated,100,100,6331,24.0000000000000000,26.0000000000000000,27.0000000000000000,29.0000000000000000,28.0000000000000000,28.0000000000000000,0,24,26,0,27,29,0,28,28
correlated,100,100,6456,0.56153141105585022463,0.56138616340861168292,0.56103761847807141440,1.0017169428400278,0.56099075797432748386,1.0017370119787712,998295,560574,560429,998286,560076,1000000,998266,560018,1000000
correlated,100,100,6750,0.76178640440376506758,0.76178640440376506758,0.76151930733194889182,1.0821585600365337,0.76129851668258781605,1.0818448050353385,923755,703704,703704,924079,703704,1000000,924347,703704,1000000
correlated,100,100,7514,0.33337900000000000000,0.33338200000000000000,0.33338400000000000000,0.99317000000000000000,0.33338700000000000000,0.99625400000000000000,1000000,333379,333382,1000000,333384,993170,1000000,333387,996254
correlated,100,100,8437,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,100,100,8904,2.1877399926358424,2.1877684849122438,2.1858561527596816,2.1897890138285176,2.1850870817754350,1.3992211237883418,456264,998187,998200,456665,998204,1000000,456812,998174,639181
correlated,100,100,8916,997778.000000000000,997778.000000000000,997778.000000000000,997778.000000000000,997778.000000000000,997778.000000000000,0,997778,997778,0,997778,997778,0,997778,997778
correlated,100,100,8947,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,0,110556,110556,0,110556,110556,0,110556,110556
