dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,1000,1000,139,0.98985041898347560498,1.00054820267836165714,1.00159746886486654156,1.00403244567830389131,0.99737439020600938384,1.00254792903085479912,63845,63197,63880,64477,64580,64737,64366,64197,64530
random,1000,1000,336,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,1000000,336667,336667,1000000,336667,336667,1000000,336667,336667
random,1000,1000,1026,0.56306267884887802904,0.56306267884887802904,0.56312577987267794478,0.56312577987267794478,0.56316628499642863714,0.56316628499642863714,597921,336667,336667,597854,336667,336667,597811,336667,336667
random,1000,1000,1358,1.2428135484842114,1.2428110604237913,1.2421524719433620,1.2421499852039002,1.2417245048126641,1.2417245048126641,803839,999022,999020,804266,999021,999019,804544,999022,999022
random,1000,1000,1676,0.66581429337067163456,0.66581429337067163456,0.66495687331004011464,0.66495687331004011464,0.66596970698021280678,0.66596970698021280678,505647,336667,336667,506299,336667,336667,505529,336667,336667
random,1000,1000,1751,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,1000000,333333,333333,1000000,333333,333333,1000000,333333,333333
random,1000,1000,3284,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,0,407407,407407,0,407407,407407,0,407407,407407
random,1000,1000,3688,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,4027,0.12313937753721244926,0.12550744248985115020,0.12973913043478260870,0.13008695652173913043,0.12694651320243737305,0.12626946513202437373,2956,364,371,2875,373,374,2954,375,373
random,1000,1000,4191,0.38045300000000000000,0.38125400000000000000,0.38137600000000000000,0.38143300000000000000,0.38155700000000000000,0.38154800000000000000,1000000,380453,381254,1000000,381376,381433,1000000,381557,381548
random,1000,1000,5419,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,5587,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,5969,995132.000000000000,995134.000000000000,995135.000000000000,995135.000000000000,995136.000000000000,995135.000000000000,0,995132,995134,0,995135,995135,0,995136,995135
random,1000,1000,6065,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,0,995556,995556,0,995556,995556,0,995556,995556
random,1000,1000,6164,0.99990558931351378496,0.99990558931351378496,0.99990860214513778478,0.99990860214513778478,0.99988851694391799668,0.99988851694391799668,995650,995556,995556,995647,995556,995556,995667,995556,995556
random,1000,1000,6281,1.0082780868647079,1.0079087900261934,1.0077390290828705,1.0073813748381361,1.0072900620606153,1.0083689912455863,787984,794507,794216,788471,794573,794291,788745,794495,795346
random,1000,1000,6441,0.59150643772711447368,0.59150643772711447368,0.59156879239295944118,0.59156879239295944118,0.59167085566281279021,0.59167085566281279021,939229,555560,555560,939130,555560,555560,938968,555560,555560
random,1000,1000,6545,0.70891373905174364112,0.70939449274425519537,0.71063831508766819590,0.71077788835756648947,0.70966074209007429787,0.70950322011272918943,495056,350952,351190,494364,351314,351383,495169,351402,351324
random,1000,1000,6625,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,6899,0.00858500000000000000,0.00847600000000000000,0.00835000000000000000,0.00845800000000000000,0.00865800000000000000,0.00826200000000000000,1000000,8585,8476,1000000,8350,8458,1000000,8658,8262
random,1000,1000,8038,0.98976968326400947650,0.99834430400193837580,1.00161792824956208967,1.00262077633813363285,1.00440315738602802986,1.00355742898566288997,74289,73529,74166,74787,74908,74983,74492,74820,74757
random,1000,1000,8266,9466.0000000000000000,9597.0000000000000000,9673.0000000000000000,9681.0000000000000000,9706.0000000000000000,9651.0000000000000000,0,9466,9597,0,9673,9681,0,9706,9651
random,1000,1000,8523,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1000000,703704,703704,1000000,703704,703704,1000000,703704,703704
random,1000,1000,8753,0.99593225360557073064,0.99593125268372170769,0.99598010069767674644,0.99598110166861856000,0.99598708339339195054,0.99598608241643844392,999079,995015,995014,999030,995014,995015,999024,995015,995014
random,1000,1000,9100,110556.000000000000,110556.000000000000,110555.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,0,110556,110556,0,110555,110556,0,110556,110556
random,1000,1000,9157,110556.000000000000,110556.000000000000,110555.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,0,110556,110556,0,110555,110556,0,110556,110556
random,1000,1000,9619,1.00188755804691844126,1.00188755804691844126,1.00291246069832864471,1.00291246069832864471,1.00367344849493997525,1.00367344849493997525,332705,333333,333333,332365,333333,333333,332113,333333,333333
random,1000,1000,9859,0.33333333333333333333,0.33333333333333333333,0.17647058823529411765,0.23529411764705882353,0.18181818181818181818,0.18181818181818181818,12,4,4,17,3,4,22,4,4
random,1000,1000,10049,0.33359800000000000000,0.33360100000000000000,0.33360300000000000000,0.33360400000000000000,0.33360400000000000000,0.33360300000000000000,1000000,333598,333601,1000000,333603,333604,1000000,333604,333603
random,1000,1000,10203,0.55777800000000000000,0.55777800000000000000,0.55777700000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,1000000,557778,557778,1000000,557777,557778,1000000,557778,557778
random,1000,1000,10225,0.33396251934897281375,0.33396251934897281375,0.33430415356610954824,0.33430415356610954824,0.33455781616497999175,0.33455781616497999175,332705,111111,111111,332365,111111,111111,332113,111111,111111
random,1000,1000,10948,1.00000000000000000000,1.00000000000000000000,0.46666666666666666667,0.46666666666666666667,0.66666666666666666667,0.66666666666666666667,8,8,8,15,7,7,12,8,8
random,1000,1000,11290,1658.0000000000000000,1658.0000000000000000,1658.0000000000000000,1658.0000000000000000,1658.0000000000000000,1658.0000000000000000,0,1658,1658,0,1658,1658,0,1658,1658
random,1000,1000,11404,331667.000000000000,331667.000000000000,331666.000000000000,331667.000000000000,331667.000000000000,331667.000000000000,0,331667,331667,0,331666,331667,0,331667,331667
random,1000,1000,11465,995008.000000000000,995008.000000000000,995007.000000000000,995008.000000000000,995008.000000000000,995008.000000000000,0,995008,995008,0,995007,995008,0,995008,995008
random,1000,1000,11720,0.33446400000000000000,0.33441800000000000000,0.33440500000000000000,0.33444500000000000000,0.33447700000000000000,0.33436700000000000000,1000000,334464,334418,1000000,334405,334445,1000000,334477,334367
random,1000,1000,12245,0.67892815246123075321,0.67937227972053675076,0.68005589025632216346,0.68045006687198615934,0.68004426331769505823,0.67943273063901333264,652966,443317,443607,651992,443391,443648,652459,443701,443302
random,1000,1000,13653,0.70370400000000000000,0.70370400000000000000,0.70370300000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1000000,703704,703704,1000000,703703,703704,1000000,703704,703704
random,1000,1000,13654,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,13672,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,13959,1.00000000000000000000,1.00000000000000000000,0.99999900000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1000000,1000000,1000000,1000000,999999,1000000,1000000,1000000,1000000
random,1000,1000,15547,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,15823,0.44456794554802243302,0.44455593643711028767,0.44409891110343917495,0.44409891110343917495,0.44426813169229128052,0.44426679823450188684,749431,333173,333164,750209,333167,333167,749930,333170,333169
random,1000,1000,16612,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,1000,17017,0.50877789000091818933,0.50883757230740978790,0.50958028777639865766,0.50956189950811382338,0.50876621140824056008,0.50889016412257546195,217820,110822,110835,217530,110849,110845,217825,110822,110849
random,1000,1000,17192,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,1000000,407407,407407,1000000,407407,407407,1000000,407407,407407
random,1000,1000,17348,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,1000000,407407,407407,1000000,407407,407407,1000000,407407,407407
random,1000,1000,18025,5.0000000000000000,5.0000000000000000,4.0000000000000000,5.0000000000000000,5.0000000000000000,5.0000000000000000,0,5,5,0,4,5,0,5,5
random,1000,1000,18565,0.17495431374434933154,0.17654130999326728864,0.17955559868038036095,0.17548030273627013390,0.17641119338397922877,0.17419944225406289066,20794,3638,3671,20612,3701,3617,20798,3669,3623
random,1000,1000,18641,0.34012200000000000000,0.33999900000000000000,0.34002200000000000000,0.33984900000000000000,0.33976400000000000000,0.33995600000000000000,1000000,340122,339999,1000000,340022,339849,1000000,339764,339956
random,1000,1000,18832,0.33364822074219142204,0.33319370325946254657,0.33323899174042954952,0.33311260281253173226,0.33312410397798662301,0.33325050587768833613,926257,309044,308623,925714,308484,308367,925619,308346,308463
random,1000,1000,18869,1.3347381360024584,1.3347381360024584,1.3388953164845811,1.3388953164845811,1.3374015275722798,1.3374015275722798,250569,334444,334444,249791,334444,334444,250070,334444,334444
random,1000,1000,20046,0.99668300000000000000,0.99668300000000000000,0.99668200000000000000,0.99668300000000000000,0.99668300000000000000,0.99668300000000000000,1000000,996683,996683,1000000,996682,996683,1000000,996683,996683
random,1000,1000,20381,0.34784200000000000000,0.34817700000000000000,0.34816200000000000000,0.34810700000000000000,0.34861300000000000000,0.34806600000000000000,1000000,347842,348177,1000000,348162,348107,1000000,348613,348066
random,1000,1000,20482,1.8823127742023592,1.8829956127622527,1.8956503806561378,1.8952723023251817,1.9023477255869314,1.9029514757378689,58579,110264,110304,58189,110306,110284,57971,110281,110316
random,1000,1000,20807,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,1000000,407407,407407,1000000,407407,407407,1000000,407407,407407
random,1000,1000,21120,0.99752900000000000000,0.99760900000000000000,0.99763800000000000000,0.99755800000000000000,0.99749800000000000000,0.99771800000000000000,1000000,997529,997609,1000000,997638,997558,1000000,997498,997718
random,1000,1000,21961,110556.000000000000,110556.000000000000,110555.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,0,110556,110556,0,110555,110556,0,110556,110556
random,1000,1000,22116,1.00099901199915514416,1.00100101402720956329,1.00098899096895088879,1.00098999197195589981,1.00098899195893481162,1.00099099396694884970,998987,999985,999987,998998,999986,999987,998997,999985,999987
random,1000,1000,23198,995556.000000000000,995556.000000000000,995555.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,0,995556,995556,0,995555,995556,0,995556,995556
random,1000,1000,23865,0.00710500000000000000,0.00706900000000000000,0.00697200000000000000,0.00695600000000000000,0.00713800000000000000,0.00679700000000000000,1000000,7105,7069,1000000,6972,6956,1000000,7138,6797
random,1000,1000,25011,0.99230105854311394949,0.99174044409987033491,0.99142556297706414709,0.99089601947543322665,0.99112011980362793228,0.99144732488400763724,815177,808901,808444,815797,808802,808370,816002,808756,809023
random,1000,1000,25545,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,1000000,339983,339983,1000000,339983,339983,1000000,339983,339983
random,1000,1000,25678,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
random,1000,1000,26871,0.70339324247997798665,0.70388854291879679648,0.70437506523024828082,0.70422286131759303283,0.70432026113475341783,0.70320127784413084567,690490,485686,486028,689864,485923,485818,689912,485919,485147
random,1000,1000,27507,2.9859640187545875,2.9859640187545875,2.9891580791055340,2.9891610782537759,2.9913411468103306,2.9913411468103306,333785,996670,996670,333428,996669,996670,333185,996670,996670
random,1000,1000,28051,0.11314984709480122324,0.09989806320081549439,0.11053719008264462810,0.11776859504132231405,0.11179487179487179487,0.10051282051282051282,981,111,98,968,107,114,975,109,98
