dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,1000,100,206,555556.000000000000,555556.000000000000,555556.000000000000,555556.000000000000,555556.000000000000,555556.000000000000,0,555556,555556,0,555556,555556,0,555556,555556
random,1000,100,378,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,1000000,336667,336667,1000000,336667,336667,1000000,336667,336667
random,1000,100,623,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
random,1000,100,812,0.98584735315631441915,0.98584019192110364865,0.98554955585502895307,0.98526304372072843664,0.98554177655919458884,0.98582629458259261420,977485,963651,963644,977271,963149,962869,977091,962964,963242
random,1000,100,1026,0.56840429375555037802,0.56840429375555037802,0.56879321909048364834,0.56879321909048364834,0.56909800872240440853,0.56909800872240440853,592302,336667,336667,591897,336667,336667,591580,336667,336667
random,1000,100,1374,1.0235400438513163,1.0235400438513163,1.0233823974863820,1.0233823974863820,1.0234338899579605,1.0234338899579605,973745,996667,996667,973895,996667,996667,973846,996667,996667
random,1000,100,1469,0.95630585898709036743,0.99900695134061569017,0.98945168673499850731,0.99343218230669718380,1.00763661608648219776,1.00733908558960626798,10070,9630,10060,10049,9943,9983,10083,10160,10157
random,1000,100,1648,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,1000000,336667,336667,1000000,336667,336667,1000000,336667,336667
random,1000,100,3242,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,0,407407,407407,0,407407,407407,0,407407,407407
random,1000,100,3284,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,407407.000000000000,0,407407,407407,0,407407,407407,0,407407,407407
random,1000,100,3820,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,1000,100,3921,0.99708527150322264340,1.00062479821110406926,1.00093679330282291026,1.00085325759429093101,1.00057066199779503375,1.00178667997215408471,334508,333533,334717,335186,335500,335472,334699,334890,335297
random,1000,100,4536,1.6590615176475270,1.6604343241414985,1.6585295449681732,1.6590023440882691,1.6606495769039323,1.6577675460428074,402096,667102,667654,401862,666500,666690,401800,667249,666091
random,1000,100,4812,0.75868100000000000000,0.75875900000000000000,0.75842500000000000000,0.75838200000000000000,0.75908900000000000000,0.75864300000000000000,1000000,758681,758759,1000000,758425,758382,1000000,759089,758643
random,1000,100,4817,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,1000000,333333,333333,1000000,333333,333333,1000000,333333,333333
random,1000,100,4884,1.6998009623374365,1.6998009623374365,1.6981806861701743,1.6981806861701743,1.6976112475453892,1.6976112475453892,413992,703704,703704,414387,703704,703704,414526,703704,703704
random,1000,100,5206,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
random,1000,100,5511,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1000000,703704,703704,1000000,703704,703704,1000000,703704,703704
random,1000,100,5923,8119.0000000000000000,8161.0000000000000000,8325.0000000000000000,8456.0000000000000000,8338.0000000000000000,8295.0000000000000000,0,8119,8161,0,8325,8456,0,8338,8295
random,1000,100,5969,995424.000000000000,995425.000000000000,995425.000000000000,995426.000000000000,995424.000000000000,995426.000000000000,0,995424,995425,0,995425,995426,0,995424,995426
random,1000,100,6242,0.99099425948110211531,0.99072391641675845601,0.99074245305395528718,0.99044194208480238640,0.99050268437354902122,0.99079112136664864354,995032,986071,985802,994972,985761,985462,995018,985568,985855
random,1000,100,6479,0.70516782277680125870,0.70529980998032762157,0.70406968233055189577,0.70422025639416943765,0.70554548597651052417,0.70540299852274036900,477319,336590,336653,478170,336665,336737,477235,336711,336643
random,1000,100,6639,1.2008436744890855,1.2008436744890855,1.2016536518144235,1.2016536518144235,1.2019389417805061,1.2019389417805061,586008,703704,703704,585613,703704,703704,585474,703704,703704
random,1000,100,6944,0.04629600000000000000,0.04632100000000000000,0.04670800000000000000,0.04689600000000000000,0.04727000000000000000,0.04672800000000000000,1000000,46296,46321,1000000,46708,46896,1000000,47270,46728
random,1000,100,7544,0.64411562693114920956,0.64411562693114920956,0.64516605024624877834,0.64516605024624877834,0.64401212782033992329,0.64401212782033992329,522681,336667,336667,521830,336667,336667,522765,336667,336667
random,1000,100,8175,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,1000000,555556,555556,1000000,555556,555556,1000000,555556,555556
random,1000,100,8495,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,1000000,407407,407407,1000000,407407,407407,1000000,407407,407407
random,1000,100,8589,0.99972900000000000000,0.99972200000000000000,0.99972300000000000000,0.99972000000000000000,0.99971700000000000000,0.99972200000000000000,1000000,999729,999722,1000000,999723,999720,1000000,999717,999722
random,1000,100,8779,1627.0000000000000000,1683.0000000000000000,1653.0000000000000000,1620.0000000000000000,1663.0000000000000000,1621.0000000000000000,0,1627,1683,0,1653,1620,0,1663,1621
random,1000,100,8951,1.0223990880569348,1.0223990880569348,1.0222416174228228,1.0222416174228228,1.0222930524949530,1.0222930524949530,973745,995556,995556,973895,995556,995556,973846,995556,995556
random,1000,100,9488,0.00645500000000000000,0.00645600000000000000,0.00645500000000000000,0.00645400000000000000,0.00645600000000000000,0.00645200000000000000,1000000,6455,6456,1000000,6455,6454,1000000,6456,6452
random,1000,100,10068,0.57307400000000000000,0.57318000000000000000,0.57241300000000000000,0.57253000000000000000,0.57330200000000000000,0.57262300000000000000,1000000,573074,573180,1000000,572413,572530,1000000,573302,572623
random,1000,100,10873,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
random,1000,100,10876,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,0,556,556,0,556,556,0,556,556
random,1000,100,11082,2.6551312680948081,2.6551259411963681,2.6532215136642855,2.6532188521361425,2.6514626011373127,2.6514626011373127,375453,996877,996875,375724,996879,996878,375974,996881,996881
random,1000,100,11199,0.99655600000000000000,0.99655900000000000000,0.99655900000000000000,0.99656000000000000000,0.99655500000000000000,0.99656100000000000000,1000000,996556,996559,1000000,996559,996560,1000000,996555,996561
