dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,10,100,281,1.5882121032919377,1.6928838951310861,1.7255988913086518,1.9180360324688181,1.7435594886922321,1.7716814159292035,5073,8057,8588,5051,8716,9688,5085,8866,9009
correlated,10,100,849,111123.000000000000,111123.000000000000,111101.000000000000,111101.000000000000,111123.000000000000,111101.000000000000,0,111123,111123,0,111101,111101,0,111123,111101
correlated,10,100,1349,766866.000000000000,764217.000000000000,763408.000000000000,758765.000000000000,759585.000000000000,758764.000000000000,0,766866,764217,0,763408,758765,0,759585,758764
correlated,10,100,1507,0.00500100000000000000,0.00500100000000000000,0.00500000000000000000,0.12650600000000000000,0.00500100000000000000,0.11959200000000000000,1000000,5001,5001,1000000,5000,126506,1000000,5001,119592
correlated,10,100,2080,0.33337000000000000000,0.33337000000000000000,0.33330400000000000000,0.33330400000000000000,0.33337000000000000000,0.33330400000000000000,1000000,333370,333370,1000000,333304,333304,1000000,333370,333304
correlated,10,100,2265,348827.000000000000,353136.000000000000,361693.000000000000,357049.000000000000,361096.000000000000,350746.000000000000,0,348827,353136,0,361693,357049,0,361096,350746
correlated,10,100,2557,331703.000000000000,331703.000000000000,331637.000000000000,331637.000000000000,331703.000000000000,331637.000000000000,0,331703,331703,0,331637,331637,0,331703,331637
correlated,10,100,2987,333370.000000000000,333370.000000000000,333304.000000000000,333304.000000000000,333370.000000000000,333304.000000000000,0,333370,333370,0,333304,333304,0,333370,333304
correlated,10,100,3071,407452.000000000000,407452.000000000000,407372.000000000000,407372.000000000000,407452.000000000000,407372.000000000000,0,407452,407452,0,407372,407372,0,407452,407372
correlated,10,100,3653,0.41162214394025876151,0.41162214394025876151,0.41150682053271269718,0.53424610486164985777,0.41165832476242243241,0.52735248771951803528,989869,407452,407452,989952,407372,528878,989782,407452,521964
correlated,10,100,3975,0.06836100000000000000,0.07248400000000000000,0.07347500000000000000,0.03444800000000000000,0.07463500000000000000,0.16804500000000000000,1000000,68361,72484,1000000,73475,34448,1000000,74635,168045
correlated,10,100,4400,0.11556800000000000000,0.11556800000000000000,0.11554500000000000000,0.11554500000000000000,0.11556800000000000000,0.23013700000000000000,1000000,115568,115568,1000000,115545,115545,1000000,115568,230137
correlated,10,100,4549,2.1176818450620934,2.2572442341809580,2.3009305088101366,2.5575133636903583,2.3246804326450344,2.3622418879056047,5073,10743,11451,5051,11622,12918,5085,11821,12012
correlated,10,100,4709,0.35127500000000000000,0.35245500000000000000,0.35267400000000000000,0.35483600000000000000,0.35307200000000000000,0.46791600000000000000,1000000,351275,352455,1000000,352674,354836,1000000,353072,467916
correlated,10,100,4741,109.0000000000000000,106.0000000000000000,108.0000000000000000,108.0000000000000000,109.0000000000000000,111.0000000000000000,0,109,106,0,108,108,0,109,111
correlated,10,100,4884,9.2875278778521187,9.2875278778521187,9.2740668494306200,9.7342102488401518,9.2600326307202442,9.5514854872240204,75777,703781,703781,75872,703642,738554,76002,703781,725932
correlated,10,100,5516,0.40745200000000000000,0.40745200000000000000,0.40737200000000000000,0.52887800000000000000,0.40745200000000000000,0.52196400000000000000,1000000,407452,407452,1000000,407372,528878,1000000,407452,521964
correlated,10,100,6462,0.58524645831058685415,0.58713762980518329238,0.58750498354179062914,0.67771059596147797325,0.58817813440722875876,0.68104304096730729738,998323,584265,586153,998286,586498,676549,998235,587140,679841
correlated,10,100,7040,0.00532700000000000000,0.00531800000000000000,0.00532100000000000000,0.00532100000000000000,0.00532700000000000000,0.11992300000000000000,1000000,5327,5318,1000000,5321,5321,1000000,5327,119923
correlated,10,100,7408,111123.000000000000,111123.000000000000,111101.000000000000,111101.000000000000,111123.000000000000,111101.000000000000,0,111123,111123,0,111101,111101,0,111123,111101
correlated,10,100,7418,1.0622675785658406,0.99580792265365289249,1.0646950416849495,0.99639534883720930233,1.0647412845322622,1.0685980350502188,456337,484752,454424,455800,485288,454157,456602,486163,487924
correlated,10,100,7926,0.70378100000000000000,0.70378100000000000000,0.70364200000000000000,0.82514900000000000000,0.70378100000000000000,0.81823400000000000000,1000000,703781,703781,1000000,703642,825149,1000000,703781,818234
correlated,10,100,8647,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
correlated,10,100,9038,995665.000000000000,995665.000000000000,995468.000000000000,995468.000000000000,995665.000000000000,885811.000000000000,0,995665,995665,0,995468,995468,0,995665,885811
correlated,10,100,9155,995665.000000000000,995665.000000000000,995468.000000000000,995468.000000000000,995665.000000000000,885811.000000000000,0,995665,995665,0,995468,995468,0,995665,885811
correlated,10,100,9584,0.00665900000000000000,0.00665900000000000000,0.00665800000000000000,0.00665800000000000000,0.00665900000000000000,0.12125000000000000000,1000000,6659,6659,1000000,6658,6658,1000000,6659,121250
correlated,10,100,9731,1.00011000000000000000,1.00011000000000000000,0.99991200000000000000,0.99991200000000000000,1.00011000000000000000,0.99991200000000000000,1000000,1000110,1000110,1000000,999912,999912,1000000,1000110,999912
correlated,10,100,9995,0.33361200000000000000,0.33362800000000000000,0.33356500000000000000,0.33359500000000000000,0.33363600000000000000,0.44816600000000000000,1000000,333612,333628,1000000,333565,333595,1000000,333636,448166
correlated,10,100,10225,111123.000000000000,111123.000000000000,111101.000000000000,111101.000000000000,111123.000000000000,111101.000000000000,0,111123,111123,0,111101,111101,0,111123,111101
correlated,10,100,10397,0.33358200000000000000,0.33359300000000000000,0.33353200000000000000,0.33355700000000000000,0.33360300000000000000,0.33354200000000000000,1000000,333582,333593,1000000,333532,333557,1000000,333603,333542
correlated,10,100,10462,1880.0000000000000000,1725.0000000000000000,1460.0000000000000000,1405.0000000000000000,1660.0000000000000000,1974.0000000000000000,0,1880,1725,0,1460,1405,0,1660,1974
correlated,10,100,10657,0.32822062627618729304,0.33227633896096236108,0.34078924054371029118,0.64534237829658817011,0.34006415031751877142,0.55500988117292193171,356041,116860,118304,355557,121170,229456,355727,120970,197432
correlated,10,100,11686,0.10166075230660042583,0.10836053938963804116,0.11064461771342072944,0.79721817610601776483,0.11240122100818760163,0.42743845034661797849,35225,3581,3817,35013,3874,27913,35053,3940,14983
correlated,10,100,11720,0.34411300000000000000,0.34482100000000000000,0.34492600000000000000,0.34622200000000000000,0.34519100000000000000,0.45990800000000000000,1000000,344113,344821,1000000,344926,346222,1000000,345191,459908
correlated,10,100,11820,0.62452700000000000000,0.62348800000000000000,0.62543600000000000000,0.43549100000000000000,0.62570500000000000000,0.70471800000000000000,1000000,624527,623488,1000000,625436,435491,1000000,625705,704718
correlated,10,100,12117,0.85612200000000000000,0.82476400000000000000,0.85319300000000000000,0.80213800000000000000,0.85217000000000000000,0.81584700000000000000,1000000,856122,824764,1000000,853193,802138,1000000,852170,815847
correlated,10,100,12214,0.32527065830054238009,0.32904817611400616824,0.33095784721214655754,0.64987325999197740017,0.33613363040338762104,0.57814064250629427828,235075,76463,77351,234338,77556,152290,234737,78903,135711
correlated,10,100,13662,0.70378100000000000000,0.70378100000000000000,0.70364200000000000000,0.70364200000000000000,0.70378100000000000000,0.81823400000000000000,1000000,703781,703781,1000000,703642,703642,1000000,703781,818234
correlated,10,100,13845,0.70378100000000000000,0.70378100000000000000,0.70364200000000000000,0.70364200000000000000,0.70378100000000000000,0.70364200000000000000,1000000,703781,703781,1000000,703642,703642,1000000,703781,703642
correlated,10,100,14190,0.99788800000000000000,0.99788800000000000000,0.99769000000000000000,0.88118300000000000000,0.99788800000000000000,0.99991200000000000000,1000000,997888,997888,1000000,997690,881183,1000000,997888,999912
correlated,10,100,14395,110568.000000000000,110568.000000000000,110546.000000000000,110546.000000000000,110568.000000000000,110546.000000000000,0,110568,110568,0,110546,110546,0,110568,110546
correlated,10,100,14794,330045.000000000000,330045.000000000000,329979.000000000000,329979.000000000000,330045.000000000000,329979.000000000000,0,330045,330045,0,329979,329979,0,330045,329979
correlated,10,100,14795,996768.000000000000,996768.000000000000,996571.000000000000,996571.000000000000,996768.000000000000,886914.000000000000,0,996768,996768,0,996571,996571,0,996768,886914
correlated,10,100,15246,1.0421202948003466,1.0406473627349257,1.0399202130504070,1.0371469213574477,1.0397163075053799,1.0390734965067875,934870,974247,972870,934990,972315,969722,934956,972089,971488
correlated,10,100,15806,0.30671400000000000000,0.30498200000000000000,0.30447900000000000000,0.30125100000000000000,0.30403100000000000000,0.41806500000000000000,1000000,306714,304982,1000000,304479,301251,1000000,304031,418065
correlated,10,100,16597,37041.000000000000,37041.000000000000,37034.000000000000,37034.000000000000,37041.000000000000,37034.000000000000,0,37041,37041,0,37034,37034,0,37041,37034
correlated,10,100,16697,0.40745200000000000000,0.40745200000000000000,0.40737200000000000000,0.40737200000000000000,0.40745200000000000000,0.52196400000000000000,1000000,407452,407452,1000000,407372,407372,1000000,407452,521964
correlated,10,100,17227,0.04022514177242132744,0.04022514177242132744,0.04021740901020258567,0.13425603657510221590,0.04023440470112857500,0.14048640604803232569,920842,37041,37041,920845,37034,123629,920630,37041,129336
correlated,10,100,17358,1.0051883203491311,1.0051863101513980,1.00496507861206956336,1.00496005322885896664,1.0051974289260892,1.00499741183920234392,994927,1000089,1000087,994949,999889,999884,994915,1000086,999887
correlated,10,100,17866,110556.000000000000,110568.000000000000,110546.000000000000,110546.000000000000,110568.000000000000,110546.000000000000,0,110556,110568,0,110546,110546,0,110568,110546
correlated,10,100,18449,0.08786307190836269580,0.08786307190836269580,0.08775305778152678195,0.54789645719105862505,0.08761611536538512144,0.38088471356016946922,75777,6658,6658,75872,6658,41570,76002,6659,28948
correlated,10,100,18832,0.33582115893715070105,0.35397980194136680067,0.33402206195423045678,0.39511037507411886707,0.33252228318891675150,0.40794471965847035594,764925,256878,270768,765662,255748,302521,765263,254467,312185
correlated,10,100,18869,49.5472592592592593,49.5472592592592593,49.4331116038433112,49.4331116038433112,48.8293430656934307,48.8197080291970803,6750,334444,334444,6765,334415,334415,6850,334481,334415
correlated,10,100,19418,0.33590200000000000000,0.33589300000000000000,0.33586100000000000000,0.33584600000000000000,0.33591500000000000000,0.45043800000000000000,1000000,335902,335893,1000000,335861,335846,1000000,335915,450438
correlated,10,100,19551,0.55777800000000000000,0.55777800000000000000,0.55772900000000000000,0.43622200000000000000,0.55783900000000000000,0.67232100000000000000,1000000,557778,557778,1000000,557729,436222,1000000,557839,672321
correlated,10,100,19609,0.11186609614900578908,0.11186609614900578908,0.11185771745860747960,0.23419231098380544383,0.11188944268237426371,0.22724966017217942909,993250,111111,111111,993235,111101,232608,993150,111123,225693
correlated,10,100,20647,37037.000000000000,37037.000000000000,37034.000000000000,37034.000000000000,37041.000000000000,37034.000000000000,0,37037,37037,0,37034,37034,0,37041,37034
correlated,10,100,20874,0.96703400000000000000,0.95176600000000000000,0.96487100000000000000,0.96151500000000000000,0.96385800000000000000,0.95126400000000000000,1000000,967034,951766,1000000,964871,961515,1000000,963858,951264
