dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,10000,100,303,0.00499667360255920280,0.00499667360255920280,0.00499418291194915014,1.00000000000000000000,0.00499524600167454269,1.00000000000000000000,70647,353,353,70482,352,70482,70467,352,70467
correlated,10000,100,405,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,170794,170794,170794,171169,171169,171169,171029,171029,171029
correlated,10000,100,552,0.39663200000000000000,0.39663200000000000000,0.39667100000000000000,1.00000000000000000000,0.39638100000000000000,1.00000000000000000000,1000000,396632,396632,1000000,396671,1000000,1000000,396381,1000000
correlated,10000,100,1540,0.00997500000000000000,0.00997500000000000000,0.00997500000000000000,0.00500000000000000000,0.00997500000000000000,1.00000000000000000000,1000000,9975,9975,1000000,9975,5000,1000000,9975,1000000
correlated,10000,100,2071,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,1000000,111111,111111,1000000,111111,111111,1000000,111111,111111
correlated,10000,100,2184,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.33333300000000000000,0.55555600000000000000,1.00000000000000000000,1000000,555556,555556,1000000,555556,333333,1000000,555556,1000000
correlated,10000,100,2730,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,0,995000,995000,0,995000,995000,0,995000,995000
correlated,10000,100,3809,407407.000000000000,407407.000000000000,407407.000000000000,333333.000000000000,407407.000000000000,1.00000000000000000000,0,407407,407407,0,407407,333333,0,407407,1
correlated,10000,100,4327,556.0000000000000000,556.0000000000000000,556.0000000000000000,1.00000000000000000000,556.0000000000000000,1.00000000000000000000,0,556,556,0,556,1,0,556,1
correlated,10000,100,4334,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.00500000000000000000,0.11555600000000000000,1.00000000000000000000,1000000,115556,115556,1000000,115556,5000,1000000,115556,1000000
correlated,10000,100,4827,106.1073582629674306,106.1073582629674306,103.9137625516834022,99.4446249261665682,106.1233599758709094,1.00000000000000000000,6632,703704,703704,6772,703704,673439,6631,703704,6631
correlated,10000,100,4927,37037.000000000000,37037.000000000000,37037.000000000000,1.00000000000000000000,37037.000000000000,1.00000000000000000000,0,37037,37037,0,37037,1,0,37037,1
correlated,10000,100,5285,0.34997700000000000000,0.34997700000000000000,0.34997400000000000000,0.33333300000000000000,0.34992000000000000000,1.00000000000000000000,1000000,349977,349977,1000000,349974,333333,1000000,349920,1000000
