dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,100,10000,316,1.0744322687153089,1.00352530991735537190,1.03463501422022518603,1.0593404307868294,1.03221849173553719008,1.0492837941378907,76929,82655,81494,77440,77713,79935,77003,79670,80798
random,100,10000,513,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
random,100,10000,623,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
random,100,10000,1067,1.3390931155867745,1.3321753105273468,1.3304547106005981,1.3390850786813046,1.3323352216167811,1.3304786658521881,248852,333236,333234,250139,333229,333269,250467,333235,333241
random,100,10000,1136,0.69431134506607478060,0.69484974997936297894,0.69412570217699858065,0.69431134506607478060,0.69484974997936297894,0.69412570217699858065,800154,555556,555556,799534,555556,555556,800368,555556,555556
random,100,10000,1900,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,1000000,995025,995025,1000000,995025,995025,1000000,995025,995025
random,100,10000,3775,0.72113943028485757121,0.72451095461658841941,0.72512089590226520743,0.72113943028485757121,0.72451095461658841941,0.72512089590226520743,51359,37037,37037,51120,37037,37037,51077,37037,37037
random,100,10000,3930,0.98392612859097127223,0.98712420738530399105,0.99662817414137797273,1.01568726580622137632,0.95732935471838866095,1.04180467281353504610,67252,66171,68307,67025,66162,64165,67026,66800,69828
random,100,10000,4150,0.93305439330543933054,0.99601593625498007968,0.77551020408163265306,0.97071129707112970711,0.74900398406374501992,0.70068027210884353741,239,223,232,251,250,188,294,228,206
random,100,10000,4263,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,1000000,557778,557778,1000000,557778,557778,1000000,557778,557778
random,100,10000,5211,0.35891000000000000000,0.35662100000000000000,0.35766600000000000000,0.35764300000000000000,0.35739900000000000000,0.35819900000000000000,1000000,358910,357643,1000000,356621,357399,1000000,357666,358199
random,100,10000,5425,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,100,10000,6456,0.74006132093062903234,0.74138103567668826828,0.74049661231082514620,0.74006531664722084592,0.74131298858810296725,0.74048595081853607049,750804,555641,555644,749481,555651,555600,750364,555642,555634
random,100,10000,6646,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,100,10000,6780,703704.000000000000,703704.000000000000,703704.000000000000,703704.000000000000,703704.000000000000,703704.000000000000,0,703704,703704,0,703704,703704,0,703704,703704
random,100,10000,7286,0.42221028670809995141,0.42094143189153352421,0.42201446205536483821,0.42221028670809995141,0.42094143189153352421,0.42201446205536483821,273693,115556,115556,274518,115556,115556,273820,115556,115556
random,100,10000,7314,2.2192081673901194,2.2064352284055127,2.2148461697295065,2.2192081673901194,2.2064352284055127,2.2148461697295065,251341,557778,557778,252796,557778,557778,251836,557778,557778
