dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,10,10,269,0.96136332275424313509,0.96783622063048032415,0.99713193116634799235,0.89969306631780215357,0.94195347657983140014,1.00040565379983520314,79717,76637,77153,79496,79268,71522,78885,74306,78917
random,10,10,303,0.01375802349521618021,0.01418190626135400266,0.01481678751709862122,0.01421152658911256643,0.01416310056409258899,0.01404152888543085003,82570,1136,1171,82609,1224,1174,82256,1165,1155
random,10,10,512,0.55561700000000000000,0.55550700000000000000,0.55561700000000000000,0.55550700000000000000,0.55561700000000000000,0.55561700000000000000,1000000,555617,555507,1000000,555617,555507,1000000,555617,555617
random,10,10,623,111123.000000000000,111101.000000000000,111123.000000000000,111101.000000000000,111123.000000000000,111123.000000000000,0,111123,111101,0,111123,111101,0,111123,111123
random,10,10,660,0.92942200000000000000,0.93249400000000000000,0.93565000000000000000,0.93207300000000000000,0.93217400000000000000,0.93554400000000000000,1000000,929422,932494,1000000,935650,932073,1000000,932174,935544
random,10,10,769,331703.000000000000,331637.000000000000,331703.000000000000,331637.000000000000,331703.000000000000,331703.000000000000,0,331703,331637,0,331703,331637,0,331703,331703
random,10,10,906,555617.000000000000,555507.000000000000,555617.000000000000,555507.000000000000,555617.000000000000,555617.000000000000,0,555617,555507,0,555617,555507,0,555617,555617
random,10,10,1373,331703.000000000000,331637.000000000000,331703.000000000000,331637.000000000000,331703.000000000000,331703.000000000000,0,331703,331637,0,331703,331637,0,331703,331703
random,10,10,1676,0.53348290324062851050,0.53337674663269655213,0.53440838028727878740,0.53430203952067296246,0.53363763154558133638,0.53363763154558133638,631143,336704,336637,630050,336704,336637,630960,336704,336704
random,10,10,1742,0.38804300000000000000,0.38818800000000000000,0.38959800000000000000,0.38396600000000000000,0.38670900000000000000,0.38959800000000000000,1000000,388043,388188,1000000,389598,383966,1000000,386709,389598
random,10,10,1769,0.33337000000000000000,0.33330400000000000000,0.33337000000000000000,0.33330400000000000000,0.33337000000000000000,0.33337000000000000000,1000000,333370,333304,1000000,333370,333304,1000000,333370,333370
random,10,10,1793,0.50146587423716626729,0.50136659491479276946,0.50218804371568236083,0.50208862141947923806,0.50169680278712085299,0.50169680278712085299,664791,333370,333304,663835,333370,333304,664485,333370,333370
random,10,10,2421,0.15711938601799641429,0.15708827970794002703,0.15722853977511492570,0.15719741185492691306,0.15729508451976185556,0.15729508451976185556,707252,111123,111101,706761,111123,111101,706462,111123,111123
random,10,10,2572,0.99677600000000000000,0.99657900000000000000,0.99677600000000000000,0.99657900000000000000,0.99677600000000000000,0.99677600000000000000,1000000,996776,996579,1000000,996776,996579,1000000,996776,996776
random,10,10,2658,1.0171869787047058,1.0169550658713820,1.0172841214150783,1.0170654123276649,1.0172262966768048,1.0172385030872046,983128,1000025,999797,983041,1000032,999817,983090,1000025,1000037
random,10,10,2730,995109.000000000000,994912.000000000000,995109.000000000000,994912.000000000000,995109.000000000000,995109.000000000000,0,995109,994912,0,995109,994912,0,995109,995109
random,10,10,3151,37041.000000000000,37034.000000000000,37041.000000000000,37034.000000000000,37041.000000000000,37041.000000000000,0,37041,37034,0,37041,37034,0,37041,37041
random,10,10,3211,37041.000000000000,37034.000000000000,37041.000000000000,37034.000000000000,37041.000000000000,37041.000000000000,0,37041,37034,0,37041,37034,0,37041,37041
random,10,10,3725,407452.000000000000,407372.000000000000,407452.000000000000,407372.000000000000,407452.000000000000,407452.000000000000,0,407452,407372,0,407452,407372,0,407452,407452
random,10,10,3809,12.6789892954941499,12.6764998755290017,12.6173474127519896,12.6148700956863717,12.7432288734596860,12.7432288734596860,32136,407452,407372,32293,407452,407372,31974,407452,407452
random,10,10,4150,0.94728519438613216974,0.96196613711991346357,0.96278247487839954566,0.95669100202438421164,0.98386911516744235196,0.98185218026527977506,218174,206673,209876,218338,210212,208882,217657,214146,213707
random,10,10,4278,1.3019111877650376,1.3016544645336856,1.3019385344996593,1.3016818058758180,1.3014434326961886,1.3014434326961886,428477,557839,557729,428468,557839,557729,428631,557839,557839
random,10,10,5066,0.40745200000000000000,0.40737200000000000000,0.40745200000000000000,0.40737200000000000000,0.40745200000000000000,0.40745200000000000000,1000000,407452,407372,1000000,407452,407372,1000000,407452,407452
random,10,10,6035,995665.000000000000,995468.000000000000,995665.000000000000,995468.000000000000,995665.000000000000,995665.000000000000,0,995665,995468,0,995665,995468,0,995665,995665
random,10,10,6258,0.81097731931735842324,0.82219932347554425992,0.77268948619598349060,0.80534732451470824157,0.84013630128535450672,0.79029706132106283068,274639,222726,225808,274268,211924,220881,275566,231513,217779
random,10,10,6316,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,0,1667,1667,0,1667,1667,0,1667,1667
random,10,10,6331,110.0000000000000000,113.0000000000000000,116.0000000000000000,122.0000000000000000,102.0000000000000000,115.0000000000000000,0,110,113,0,116,122,0,102,115
random,10,10,6719,3.4380653435938977,3.4373903064668557,3.4326489692415269,3.4319749955770478,3.4317238126521296,3.4317238126521296,118512,407452,407372,118699,407452,407372,118731,407452,407452
random,10,10,6944,0.14956500000000000000,0.14543500000000000000,0.13666700000000000000,0.14445800000000000000,0.14669500000000000000,0.13992000000000000000,1000000,149565,145435,1000000,136667,144458,1000000,146695,139920
random,10,10,8122,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000,0,1,1,0,1,1,0,1,1
random,10,10,8339,0.51960049173387199616,0.51949847225835411980,0.51917808568275819888,0.51907614914335080696,0.51966013411999377610,0.51966013411999377610,784164,407452,407372,784802,407452,407372,784074,407452,407452
random,10,10,8471,0.40745200000000000000,0.40737200000000000000,0.40745200000000000000,0.40737200000000000000,0.40745200000000000000,0.40745200000000000000,1000000,407452,407372,1000000,407452,407372,1000000,407452,407452
random,10,10,8817,1.8160059073663840,1.8157039914736042,1.8171668477400405,1.8168065208252578,1.8156788444334538,1.8156024757984159,549822,998480,998314,549501,998535,998337,549964,998558,998516
random,10,10,8925,1.0848259517752701,1.0846107016285087,1.0853935101845920,1.0851781474234239,1.0857915089843554,1.0857915089843554,919860,997888,997690,919379,997888,997690,919042,997888,997888
random,10,10,8950,110568.000000000000,110546.000000000000,110568.000000000000,110546.000000000000,110568.000000000000,110568.000000000000,0,110568,110546,0,110568,110546,0,110568,110568
random,10,10,9052,110568.000000000000,110546.000000000000,110568.000000000000,110546.000000000000,110568.000000000000,110568.000000000000,0,110568,110546,0,110568,110546,0,110568,110568
random,10,10,9991,0.30989120115237294979,0.31560941541080567893,0.32004309364314168673,0.32001943581540342966,0.32405757467761526209,0.31635888894545824818,549822,170385,173529,549501,175864,175851,549964,178220,173986
random,10,10,10049,0.33610100000000000000,0.33602200000000000000,0.33612200000000000000,0.33604300000000000000,0.33606600000000000000,0.33611500000000000000,1000000,336101,336022,1000000,336122,336043,1000000,336066,336115
random,10,10,10425,0.91010600000000000000,0.90632900000000000000,0.90891700000000000000,0.89537800000000000000,0.90686700000000000000,0.90410900000000000000,1000000,910106,906329,1000000,908917,895378,1000000,906867,904109
random,10,10,10489,0.34265631433445091465,0.32332656902535144991,0.32650459466031937863,0.32731520033013758189,0.33226310053315267018,0.32702730566437892132,136008,46604,43975,135701,44307,44417,135796,45120,44409
random,10,10,10491,0.87534657369677590935,0.87168137535115901581,0.86012089148297900091,0.87176576561888613539,0.87329035386249896864,0.87087314061498875940,981393,859059,855462,981376,844102,855530,981709,857317,854944
random,10,10,10558,0.00787259071577232830,0.00823454890960094109,0.00784507105392925987,0.00804680145245886941,0.00761233242763793142,0.00837581119619158826,44204,348,364,44614,350,359,44533,339,373
random,10,10,10759,111123.000000000000,111101.000000000000,111123.000000000000,111101.000000000000,111123.000000000000,111123.000000000000,0,111123,111101,0,111123,111101,0,111123,111123
random,10,10,11241,0.99952700000000000000,0.99923600000000000000,0.99945700000000000000,0.99925100000000000000,0.99949600000000000000,0.99946600000000000000,1000000,999527,999236,1000000,999457,999251,1000000,999496,999466
random,10,10,11387,66.4253387624324144,66.4121887724450971,66.8582370330556302,66.8450013437248052,66.1603616780799149,66.1603616780799149,14981,995118,994921,14884,995118,994921,15041,995118,995118
random,10,10,11820,0.78297500000000000000,0.78533800000000000000,0.78608600000000000000,0.78637500000000000000,0.78307300000000000000,0.78067800000000000000,1000000,782975,785338,1000000,786086,786375,1000000,783073,780678
random,10,10,11824,0.16787937696580567658,0.16429087250113798544,0.16554018140356291686,0.16518869056804348199,0.16664214369548629052,0.16553176637250507283,584366,98103,96006,583230,96548,96343,584486,97400,96751
random,10,10,12406,0.11342794651360508010,0.11103352054423159081,0.10938926798787198841,0.11220824960413545313,0.11180391984469235558,0.11209320727586250906,704553,79916,78229,704155,77027,79012,705181,78842,79046
random,10,10,12793,389418.000000000000,401870.000000000000,414801.000000000000,407510.000000000000,414062.000000000000,409506.000000000000,0,389418,401870,0,414801,407510,0,414062,409506
random,10,10,13277,0.87504935006890386979,1.01421281984431449961,0.97991488981137137704,0.99224170697352044657,0.92624214307093684526,0.97012870398084405867,134245,117471,136153,134179,131484,133138,133640,123783,129648
random,10,10,14268,1.5022212186218057,1.5019231492981070,1.5013623609240884,1.5010644620141276,1.5017848865558612,1.5017848865558612,664275,997888,997690,664655,997888,997690,664468,997888,997888
random,10,10,15835,179275.000000000000,175529.000000000000,174530.000000000000,173629.000000000000,179775.000000000000,175319.000000000000,0,179275,175529,0,174530,173629,0,179775,175319
random,10,10,17170,37041.000000000000,37034.000000000000,37041.000000000000,37034.000000000000,37041.000000000000,37041.000000000000,0,37041,37034,0,37041,37034,0,37041,37041
random,10,10,17656,21727.000000000000,20838.000000000000,19957.0000000000000000,19511.0000000000000000,23644.000000000000,21340.000000000000,0,21727,20838,0,19957,19511,0,23644,21340
random,10,10,17771,1.2314097831074371,1.2311661391837558,1.2308678436370784,1.2306243069403014,1.2309774108879248,1.2309774108879248,808557,995665,995468,808913,995665,995468,808841,995665,995665
random,10,10,18114,0.74742800000000000000,0.73566500000000000000,0.74128900000000000000,0.73540100000000000000,0.75633900000000000000,0.72967100000000000000,1000000,747428,735665,1000000,741289,735401,1000000,756339,729671
random,10,10,18331,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,1667.0000000000000000,0,1667,1667,0,1667,1667,0,1667,1667
random,10,10,18378,0.34002100000000000000,0.33995300000000000000,0.34002100000000000000,0.33995300000000000000,0.34002100000000000000,0.34002100000000000000,1000000,340021,339953,1000000,340021,339953,1000000,340021,340021
random,10,10,18565,0.79360165118679050568,0.79384985173283170697,0.76861240522517584726,0.77679468608490258257,0.81764598966582712331,0.87593799496273985408,76551,60751,60770,76629,58898,59525,77026,62980,67470
random,10,10,19064,0.33448100000000000000,0.33441500000000000000,0.33448100000000000000,0.33441500000000000000,0.33448100000000000000,0.33448100000000000000,1000000,334481,334415,1000000,334481,334415,1000000,334481,334481
random,10,10,19613,0.33448100000000000000,0.33441500000000000000,0.33448100000000000000,0.33441500000000000000,0.33448100000000000000,0.33448100000000000000,1000000,334481,334415,1000000,334481,334415,1000000,334481,334481
random,10,10,19824,1.1204868368178481,1.1202309141154840,1.1207233182099379,1.1205066281340065,1.1206050740907050,1.1206454872025146,890894,998235,998007,890673,998198,998005,890800,998235,998271
random,10,10,20930,0.57304748031226627690,0.58092624004614579922,0.57385275757283249778,0.57792035619896410030,0.56952931350525763577,0.58564522973037420377,818276,468911,475358,818419,469652,472981,817763,465740,478919
random,10,10,21297,0.70370400000000000000,0.70370400000000000000,0.70378100000000000000,0.70364200000000000000,0.70378100000000000000,0.70378100000000000000,1000000,703704,703704,1000000,703781,703642,1000000,703781,703781
random,10,10,22290,0.60238500000000000000,0.60345200000000000000,0.60054000000000000000,0.60922000000000000000,0.60548900000000000000,0.60434800000000000000,1000000,602385,603452,1000000,600540,609220,1000000,605489,604348
random,10,10,22458,0.70370400000000000000,0.70370400000000000000,0.70378100000000000000,0.70364200000000000000,0.70378100000000000000,0.70378100000000000000,1000000,703704,703704,1000000,703781,703642,1000000,703781,703781
random,10,10,22887,1.4315648812778900,1.4315605753318090,1.4301278613969840,1.4299070646361011,1.4317546667432197,1.4317460545296655,696711,997387,997384,697474,997477,997323,696685,997482,997476
random,10,10,23334,0.99983500000000000000,0.99983300000000000000,0.99993700000000000000,0.99975700000000000000,0.99994900000000000000,0.99994400000000000000,1000000,999835,999833,1000000,999937,999757,1000000,999949,999944
