dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,100,100,559,0.29514537209922646039,0.29939745592501673734,0.29579966255217121037,0.29361162976793811683,0.28919883954474447668,0.30583429535565225113,44988,13278,13209,44810,13416,12959,45044,13324,13776
random,100,100,651,93.0000000000000000,85.0000000000000000,108.0000000000000000,103.0000000000000000,97.0000000000000000,103.0000000000000000,0,93,103,0,85,97,0,108,103
random,100,100,849,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
random,100,100,1027,0.56922493685866073761,0.56923757381595620054,0.56939217893508751851,0.56922493685866073761,0.56923757381595620054,0.56939217893508751851,585591,333333,333333,585578,333333,333333,585419,333333,333333
random,100,100,1521,0.52088759245754766121,0.51255766273705791902,0.51722354401572359574,0.52088759245754766121,0.51255766273705791902,0.51722354401572359574,9599,5000,5000,9755,5000,5000,9667,5000,5000
random,100,100,1604,0.82598734195191456528,0.82524177606269013601,0.82205000627267928619,0.82603941320432286070,0.82439896305590738527,0.82347023554502481851,422498,348978,349000,422395,348578,348222,422467,347289,347889
random,100,100,1847,1.0505103651478480,0.99895057193829362997,1.0875791221334440,0.97021993054824792171,1.0999055514744464,1.0875791221334440,9503,9983,9220,9529,9519,10481,9637,10481,10481
random,100,100,1980,0.38974000000000000000,0.39122800000000000000,0.39114600000000000000,0.39032200000000000000,0.39012800000000000000,0.38944500000000000000,1000000,389740,390322,1000000,391228,390128,1000000,391146,389445
random,100,100,2184,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,0.55555600000000000000,1000000,555556,555556,1000000,555556,555556,1000000,555556,555556
random,100,100,2263,357188.000000000000,353059.000000000000,350842.000000000000,357188.000000000000,350903.000000000000,352599.000000000000,0,357188,357188,0,353059,350903,0,350842,352599
random,100,100,2609,1.00070332739113185990,0.99885097842968433507,1.00073328969500120144,1.00164903859599693809,1.00027767157875978197,1.00076850417187979020,965411,966090,967003,965169,964060,965437,965512,966220,966254
random,100,100,2646,1.00044925427792130346,1.00043623993196257942,1.00042222251126343583,1.00044925427792130346,1.00043824103256791235,1.00041822040215193407,999434,999883,999883,999450,999886,999888,999473,999895,999891
random,100,100,3129,1.8129038241567997,1.8123295397476609,1.8114431485004260,1.8129038241567997,1.8123295397476609,1.8114431485004260,388164,703704,703704,388287,703704,703704,388477,703704,703704
random,100,100,3639,1.6683324814131491,1.6600303761514337,1.6572978864977499,1.6671631935379843,1.6604533629643267,1.6582040483986762,455833,760481,759948,456279,757437,757630,456872,757173,757587
random,100,100,4162,23436.000000000000,24225.000000000000,23268.000000000000,23428.000000000000,23453.000000000000,23061.000000000000,0,23436,23428,0,24225,23453,0,23268,23061
random,100,100,4710,0.59109200000000000000,0.59227400000000000000,0.59169900000000000000,0.59126000000000000000,0.59126300000000000000,0.59066800000000000000,1000000,591092,591260,1000000,592274,591263,1000000,591699,590668
random,100,100,4862,0.77915965422276621787,0.77965767607062344751,0.77759666826356905776,0.77915965422276621787,0.77965767607062344751,0.77759666826356905776,522880,407407,407407,522546,407407,407407,523931,407407,407407
random,100,100,4884,1.6980905337480605,1.6980372663613418,1.6973860355394965,1.6980905337480605,1.6980372663613418,1.6973860355394965,414409,703704,703704,414422,703704,703704,414581,703704,703704
random,100,100,6065,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,0,995556,995556,0,995556,995556,0,995556,995556
random,100,100,6133,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,110556.000000000000,0,110556,110556,0,110556,110556,0,110556,110556
random,100,100,6293,1.00197403332507871369,1.00033862348961534967,0.99837625200757513225,1.00110611903161519322,0.99918942739593816995,1.00003065900348805124,848010,849684,848948,847549,847836,846862,848038,846661,848064
random,100,100,6599,0.85388791079812206573,0.85329057877826973907,0.85577300769426280644,0.85388791079812206573,0.85329057877826973907,0.85577300769426280644,477120,407407,407407,477454,407407,407407,476069,407407,407407
random,100,100,7185,12.3923128193734726,12.2994046306504961,12.3890098174225934,12.3923128193734726,12.2994046306504961,12.3890098174225934,45010,557778,557778,45350,557778,557778,45022,557778,557778
random,100,100,7866,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1000000,703704,703704,1000000,703704,703704,1000000,703704,703704
random,100,100,8753,1.00433159511090881750,1.00424341135962734674,1.00422111668365339011,1.00433159511090881750,1.00424139309025296988,1.00421708023451769478,990859,995151,995151,990948,995153,995151,990970,995153,995149
random,100,100,8925,1.00681618892800671629,1.00692795432091414685,1.00706922062952802556,1.00681618892800671629,1.00692795432091414685,1.00706922062952802556,991023,997778,997778,990913,997778,997778,990774,997778,997778
random,100,100,8966,1.0424779317060912,1.0428492117529985,1.0424910312070016,1.0424779317060912,1.0428492117529985,1.0424910312070016,954990,995556,995556,954650,995556,995556,954978,995556,995556
random,100,100,9038,3.7084236640368326,3.7131678570762546,3.7039120486634299,3.7084236640368326,3.7131678570762546,3.7039120486634299,268458,995556,995556,268115,995556,995556,268785,995556,995556
random,100,100,9859,0.22192513368983957219,0.20596205962059620596,0.21657754010695187166,0.24866310160427807487,0.21138211382113821138,0.21122994652406417112,374,83,93,369,76,78,374,81,79
random,100,100,10074,0.64251900000000000000,0.63797500000000000000,0.63758000000000000000,0.64172300000000000000,0.63826200000000000000,0.63819900000000000000,1000000,642519,641723,1000000,637975,638262,1000000,637580,638199
random,100,100,10086,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,1000000,557778,557778,1000000,557778,557778,1000000,557778,557778
random,100,100,10441,0.32863133816240945482,0.31180811808118081181,0.31162619573215599706,0.32253145253526496378,0.29630996309963099631,0.29249448123620309051,2623,862,846,2710,845,803,2718,847,795
random,100,100,10876,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,0,556,556,0,556,556,0,556,556
random,100,100,12507,1.0919518470127831,1.0913049681465445,1.0932920690555203,1.0919518470127831,1.0913049681465445,1.0932920690555203,644446,703704,703704,644828,703704,703704,643656,703704,703704
random,100,100,12721,1.17119600327318144623,1.18391453511095670300,1.17205232608507320454,1.14686248331108144192,1.20059061102184392235,1.24573334488434549077,23219,27194,26629,23027,27262,27646,23086,27058,28759
random,100,100,12993,0.99801900000000000000,0.99799800000000000000,0.99799800000000000000,0.99802100000000000000,0.99800200000000000000,0.99799900000000000000,1000000,998019,998021,1000000,997998,998002,1000000,997998,997999
random,100,100,13864,0.88636063719483457442,0.93155321549454682211,0.90570369394629382210,0.90432651522292393251,0.90787890184279804438,0.94606800775295910879,53045,47017,47970,53180,49540,48281,53141,48130,50275
random,100,100,14432,1.00001212094276692841,1.00011008344122857160,1.00027773317214709961,0.99927173335542038460,1.00058172534080419489,1.00000908944927026871,990022,990034,989301,990158,990267,990734,990159,990434,990168
random,100,100,14797,330008.000000000000,330008.000000000000,330008.000000000000,330008.000000000000,330008.000000000000,330008.000000000000,0,330008,330008,0,330008,330008,0,330008,330008
random,100,100,14855,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,0,995000,995000,0,995000,995000,0,995000,995000
random,100,100,15158,1.0303207402374309,1.0326322290289836,1.0339072881558232,1.0285617826751191,1.0360239364534013,1.0360429229921054,704963,726338,725098,704365,727350,729739,703772,727635,729138
random,100,100,15305,0.91723389845046989844,0.91752078020255671105,0.91802393367810418947,0.91749301719654961052,0.91778527987818717641,0.91807758059555231290,559589,513274,513419,559547,513396,513544,559212,513370,513400
random,100,100,15459,0.75146404910491177262,0.75158684639711371785,0.75139825269132944520,0.75146404910491177262,0.75158684639711371785,0.75139825269132944520,936444,703704,703704,936291,703704,703704,936526,703704,703704
random,100,100,15835,318504.000000000000,318510.000000000000,318211.000000000000,318408.000000000000,318757.000000000000,317836.000000000000,0,318504,318408,0,318510,318757,0,318211,317836
random,100,100,15901,279311.000000000000,280106.000000000000,279188.000000000000,280083.000000000000,280317.000000000000,279378.000000000000,0,279311,280083,0,280106,280317,0,279188,279378
random,100,100,16597,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,100,100,17333,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,1000000,407407,407407,1000000,407407,407407,1000000,407407,407407
random,100,100,17413,0.92528011955457617972,0.91502020403042285695,0.92506872211401654856,0.93209327747662355184,0.92191985878810428222,0.91645255756772063597,578146,534947,538886,577855,528749,532736,579144,535748,530758
random,100,100,17442,1.00205825234935376488,1.00196989645518836258,1.00208135002154502911,1.00205825234935376488,1.00196989645518836258,1.00208135002154502911,997934,999988,999988,998022,999988,999988,997910,999987,999987
random,100,100,18045,0.99534618317888279865,0.99445904643799761856,0.99318812454997277884,0.99475691186717802687,0.99508129255993371488,0.99616598760120124339,911295,907054,906517,911215,906166,906733,911056,904850,907563
random,100,100,18114,0.97545300000000000000,0.97658400000000000000,0.97459700000000000000,0.97498100000000000000,0.97544900000000000000,0.97456900000000000000,1000000,975453,974981,1000000,976584,975449,1000000,974597,974569
random,100,100,18449,0.25240730912123739480,0.25675832015734063476,0.25633325633325633326,0.25240730912123739480,0.25675832015734063476,0.25633325633325633326,26378,6658,6658,25931,6658,6658,25974,6658,6658
random,100,100,18601,3174.0000000000000000,3291.0000000000000000,3108.0000000000000000,3269.0000000000000000,3081.0000000000000000,3231.0000000000000000,0,3174,3269,0,3291,3081,0,3108,3231
random,100,100,19213,0.64789455203522134889,0.64020963907499459693,0.65432866490023252041,0.63471355643788996029,0.65206937540523017074,0.67628291786081219921,37023,23987,23499,37016,23698,24137,36986,24201,25013
random,100,100,19514,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,1000000,334444,334444,1000000,334444,334444,1000000,334444,334444
random,100,100,19692,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,1000000,557778,557778,1000000,557778,557778,1000000,557778,557778
random,100,100,20423,0.95030096106502564941,0.94333935181159605611,0.94442893759552313489,0.94881702623549074628,0.94624799881335386095,0.94376346684730254581,586953,557782,556911,586527,553294,555000,587554,554903,554512
random,100,100,20482,2.3787724495463803,2.3773178193955127,2.3821402077151335,2.3775689687094982,2.3816521416651215,2.3843193620178042,43208,102782,102730,43144,102567,102754,43136,102756,102850
random,100,100,20647,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,100,100,21763,260502.000000000000,260242.000000000000,260203.000000000000,260397.000000000000,261116.000000000000,260491.000000000000,0,260502,260397,0,260242,261116,0,260203,260491
random,100,100,22180,0.33023975590402749587,0.33124853652078195199,0.33547793310078813492,0.32971807090532074860,0.33439105040058298447,0.33314515916459455422,456214,150660,150422,456959,151367,152803,455252,152727,151665
random,100,100,22290,0.96239600000000000000,0.96140400000000000000,0.96145800000000000000,0.96200800000000000000,0.96213700000000000000,0.96259200000000000000,1000000,962396,962008,1000000,961404,962137,1000000,961458,962592
random,100,100,22325,0.49813300000000000000,0.49803300000000000000,0.49850300000000000000,0.49795900000000000000,0.49865600000000000000,0.49826700000000000000,1000000,498133,497959,1000000,498033,498656,1000000,498503,498267
random,100,100,22489,0.05594020076063085841,0.05593166843606676704,0.05594991895366385333,0.05594020076063085841,0.05593166843606676704,0.05594991895366385333,662082,37037,37037,662183,37037,37037,661967,37037,37037
random,100,100,23261,0.99825457057661144892,1.00068840244941308107,1.00033415568811187817,0.99903280045921658869,1.00099300530313568331,1.00094355815883262863,984285,982567,983333,984889,985567,985867,984571,984900,985500
random,100,100,23415,1.00006100378223449854,1.00005200275614607574,1.00005400297016335898,1.00006100378223449854,1.00005200275614607574,1.00005400297016335898,999938,999999,999999,999947,999999,999999,999945,999999,999999
random,100,100,23850,1.5556462650370975,1.5003982332923032,1.4312273973932672,1.4382548562921699,1.5327878743996331,1.4600131064779981,41647,64788,59899,41433,62166,63508,41201,58968,60154
random,100,100,24539,0.33407300000000000000,0.33400100000000000000,0.33394500000000000000,0.33396600000000000000,0.33400900000000000000,0.33399600000000000000,1000000,334073,333966,1000000,334001,334009,1000000,333945,333996
random,100,100,24677,0.33339300000000000000,0.33339300000000000000,0.33338900000000000000,0.33339200000000000000,0.33339300000000000000,0.33339700000000000000,1000000,333393,333392,1000000,333393,333393,1000000,333389,333397
random,100,100,26136,1.01013880037169114606,1.01046408914860365564,1.0186640804946054,1.00669919775039285419,1.01364311437695958998,1.01266092859740574615,205547,207631,206924,206038,208194,208849,206225,210074,208836
random,100,100,26304,0.56028100000000000000,0.56047400000000000000,0.55985200000000000000,0.56026700000000000000,0.56016300000000000000,0.55931900000000000000,1000000,560281,560267,1000000,560474,560163,1000000,559852,559319
random,100,100,27155,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,0.33444400000000000000,1000000,334444,334444,1000000,334444,334444,1000000,334444,334444
random,100,100,27399,1.0059499392780862,1.00568679401179580470,1.00564813112714153255,1.0059438771901818,1.00568982427503477227,1.00565419135367280029,989758,995647,995641,990013,995643,995646,990062,995654,995660
random,100,100,27966,0.97213129330898759070,0.97115075447021664849,0.97140351258239240764,0.97201962823802857385,0.97200783677182897641,0.97321555084618670407,967178,940224,940116,967235,939331,940160,966867,939218,940970
random,100,100,28633,11012.0000000000000000,11791.0000000000000000,11588.0000000000000000,10700.0000000000000000,11412.0000000000000000,10797.0000000000000000,0,11012,10700,0,11791,11412,0,11588,10797
random,100,100,28922,1.0414231901623456,1.0417699266997727,1.0414351803395365,1.0414231901623456,1.0417699266997727,1.0414351803395365,955431,995008,995008,955113,995008,995008,955420,995008,995008
random,100,100,29313,101.0688295936931474,99.7580806065442937,99.3122455060085411,101.0688295936931474,99.7580806065442937,99.3122455060085411,9894,999975,999975,10024,999975,999975,10069,999975,999975
random,100,100,29537,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,995000.000000000000,0,995000,995000,0,995000,995000,0,995000,995000
random,100,100,29611,4950.0000000000000000,4950.0000000000000000,4950.0000000000000000,4950.0000000000000000,4950.0000000000000000,4950.0000000000000000,0,4950,4950,0,4950,4950,0,4950,4950
random,100,100,29697,1.1222478877928997,1.1219151359436658,1.1188007837004576,1.1198071812068566,1.1192952875439739,1.1210885587463171,672756,754999,753357,672558,754553,752791,672706,752624,754163
