dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,10,10,373,333304.000000000000,333370.000000000000,333370.000000000000,333370.000000000000,333304.000000000000,333304.000000000000,0,333304,333370,0,333370,333304,0,333370,333304
correlated,10,10,512,0.55550700000000000000,0.55561700000000000000,0.55561700000000000000,0.55561700000000000000,0.55550700000000000000,0.55550700000000000000,1000000,555507,555617,1000000,555617,555507,1000000,555617,555507
correlated,10,10,557,0.33132242277535126033,0.33454669093381867637,0.33372941489736786435,0.33244014103036362680,0.94823054355823958584,0.95115777553015815547,950150,314806,315868,949981,317813,900801,950141,317090,903734
correlated,10,10,849,111101.000000000000,111123.000000000000,111123.000000000000,111123.000000000000,111101.000000000000,111101.000000000000,0,111101,111123,0,111123,111101,0,111123,111101
correlated,10,10,906,555507.000000000000,555617.000000000000,555617.000000000000,555617.000000000000,555507.000000000000,555507.000000000000,0,555507,555617,0,555617,555507,0,555617,555507
correlated,10,10,1434,1.2547375842619342,1.2213023472638276,1.3341331888433057,1.4049473792818820,1.2755423569325863,1.4693603736099285,116304,145931,163401,115837,141472,147755,116271,155121,170844
correlated,10,10,1530,0.00997400000000000000,0.00997600000000000000,0.00997600000000000000,0.00997600000000000000,0.00851400000000000000,0.60160200000000000000,1000000,9974,9976,1000000,9976,8514,1000000,9976,601602
correlated,10,10,1742,0.39129900000000000000,0.38759800000000000000,0.38315300000000000000,0.38559800000000000000,0.35138500000000000000,0.97072800000000000000,1000000,391299,385598,1000000,387598,351385,1000000,383153,970728
correlated,10,10,1847,0.97040059716347350087,1.03755558886723629641,1.0459701793270199,1.1092510574769843,1.5487433168440514,1.7173383034454967,100475,97501,111452,100065,103823,154975,99260,103823,170463
correlated,10,10,3493,70866.000000000000,70749.000000000000,70065.000000000000,70350.000000000000,69188.000000000000,69101.000000000000,0,70866,70350,0,70749,69188,0,70065,69101
correlated,10,10,3531,4.0328898620187847,4.0007332062442510,4.0139477542316407,4.0378430338511245,4.0231493207843974,4.0339797414367586,149803,604139,604881,150026,600214,603577,150060,602333,605339
correlated,10,10,3823,37034.000000000000,37041.000000000000,37041.000000000000,37041.000000000000,37034.000000000000,37034.000000000000,0,37034,37041,0,37041,37034,0,37041,37034
correlated,10,10,5285,0.49789700000000000000,0.49953600000000000000,0.49629200000000000000,0.49753600000000000000,0.49640100000000000000,0.99991200000000000000,1000000,497897,497536,1000000,499536,496401,1000000,496292,999912
