dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,100,10,1358,10.9035674775731952,10.9035236645234783,10.8288206946816496,10.8781968300934437,10.8658814797026623,0.99440035802779081571,91297,995463,995459,91927,995461,1000000,91613,995456,91100
correlated,100,10,1481,1.01271277741865977160,1.00384045020723221415,1.0431927254357161,0.98636019196766860318,0.98532732800928554307,0.99415868690309476048,78897,79900,79200,79180,82600,78100,79263,78100,78800
correlated,100,10,1716,0.40091100000000000000,0.39975600000000000000,0.40066700000000000000,0.99983300000000000000,0.39955600000000000000,0.99986700000000000000,1000000,400911,399756,1000000,400667,999833,1000000,399556,999867
correlated,100,10,1742,0.38660000000000000000,0.38608900000000000000,0.38840000000000000000,0.33316700000000000000,0.38540000000000000000,0.99986700000000000000,1000000,386600,386089,1000000,388400,333167,1000000,385400,999867
correlated,100,10,3451,268733.000000000000,268444.000000000000,269511.000000000000,167.0000000000000000,268433.000000000000,133.0000000000000000,0,268733,268444,0,269511,167,0,268433,133
correlated,100,10,4520,1.4407131533964297,0.99464815271005436469,1.4392035889284942,1.00357011859640542854,1.4448206740134953,1.00251837491412492118,531779,766141,528933,531635,765131,533533,531295,767626,532633
correlated,100,10,4642,0.33398811234673962927,0.33241759550536818219,0.33386441285826048181,1.00106321697719478928,0.33372476831280944522,1.00027453345182175955,629729,210322,209333,630163,210389,630833,630160,210300,630333
correlated,100,10,5285,0.50021500000000000000,0.50002200000000000000,0.50088900000000000000,0.33333300000000000000,0.50008900000000000000,1.00000000000000000000,1000000,500215,500022,1000000,500889,333333,1000000,500089,1000000
correlated,100,10,6161,1.4227879071974298,1.4227879071974298,1.4246039809395704,1.1548502497030751,1.4229953403276064,1.0028301077727909,699722,995556,995556,698830,995556,807044,699620,995556,701600
correlated,100,10,6456,0.63338395588188797288,0.63382252598017867142,0.63395675496999536821,1.0202186940792628,0.63507784399374065331,1.00048250830873187023,980459,621007,621437,980182,621393,1000000,980294,622563,980767
correlated,100,10,7167,8.0308981484147781,8.0308981484147781,7.9681433122383966,10.5365209068441879,7.9747508685644024,0.98079865032955406545,69454,557778,557778,70001,557778,737567,69943,557778,68600
correlated,100,10,7600,94341.000000000000,94396.000000000000,94619.000000000000,167.0000000000000000,94278.000000000000,133.0000000000000000,0,94341,94396,0,94619,167,0,94278,133
correlated,100,10,7693,74659.000000000000,74430.000000000000,74944.000000000000,167.0000000000000000,74619.000000000000,133.0000000000000000,0,74659,74430,0,74944,167,0,74619,133
correlated,100,10,7926,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1.00000000000000000000,0.70370400000000000000,1.00000000000000000000,1000000,703704,703704,1000000,703704,1000000,1000000,703704,1000000
correlated,100,10,8817,1.8136540815844634,1.8136486324485147,1.8147580014903401,1.8174878682684793,1.8151207496750620,1.00277765153925159742,550546,998500,998497,550210,998498,1000000,550105,998507,551633
correlated,100,10,10764,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.33816700000000000000,0.55777800000000000000,0.99986700000000000000,1000000,557778,557778,1000000,557778,338167,1000000,557778,999867
correlated,100,10,11125,3240.0000000000000000,3230.0000000000000000,3247.0000000000000000,167.0000000000000000,3239.0000000000000000,133.0000000000000000,0,3240,3230,0,3247,167,0,3239,133
correlated,100,10,12005,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,1000000,333333,333333,1000000,333333,333333,1000000,333333,333333
