dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,1000,1000,215,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
correlated,1000,1000,1067,2015.2000000000000000,2015.3696969696969697,2078.0625000000000000,2058.1437500000000000,1606.1835748792270531,1591.6908212560386473,165,332508,332536,160,332490,329303,207,332480,329480
correlated,1000,1000,1349,921607.000000000000,921466.000000000000,920854.000000000000,329303.000000000000,920020.000000000000,329480.000000000000,0,921607,921466,0,920854,329303,0,920020,329480
correlated,1000,1000,1604,11.3260016764459346,11.3296563285834032,11.2999298292511779,11.9137568082333679,11.2180231593616245,11.8356946149507283,29825,337798,337907,29927,338173,356543,30139,338100,356716
correlated,1000,1000,1696,0.99926316968693950947,0.99893402134960057561,0.99814588980528375168,0.99925211390524849585,0.99835094482656608239,0.99916564973004955255,865871,865233,864948,865105,863501,864458,865344,863917,864622
correlated,1000,1000,1922,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,0.99502500000000000000,1000000,995025,995025,1000000,995025,995025,1000000,995025,995025
correlated,1000,1000,2096,0.83502400000000000000,0.83495700000000000000,0.83426700000000000000,0.83450200000000000000,0.83392000000000000000,0.83449300000000000000,1000000,835024,834957,1000000,834267,834502,1000000,833920,834493
correlated,1000,1000,2333,331667.000000000000,331667.000000000000,331667.000000000000,329303.000000000000,331667.000000000000,329480.000000000000,0,331667,331667,0,331667,329303,0,331667,329480
correlated,1000,1000,2393,0.33339812069532152790,0.33333568923740563132,0.33305190570916813375,0.33343631383267869966,0.33307948573462944931,0.33335769641556187948,848931,283032,282979,848057,282447,282773,848278,282544,282780
correlated,1000,1000,2475,0.99642473147474396429,1.00109364987999174604,0.99562487305288928909,1.00103621427694727364,0.99495248535232108538,1.00116247108760577672,920770,917478,921777,920659,916631,921613,920453,915807,921523
correlated,1000,1000,2997,555560.000000000000,555560.000000000000,555560.000000000000,551607.000000000000,555560.000000000000,547853.000000000000,0,555560,555560,0,555560,551607,0,555560,547853
correlated,1000,1000,3909,1.02323157455876221800,0.96368184555519525640,1.04189406463008673204,0.97479562490092619851,1.01723900468276558626,0.97796345606464052888,43174,44177,41606,44159,46009,43046,43564,44315,42604
correlated,1000,1000,4219,352.0000000000000000,352.0000000000000000,354.0000000000000000,353.0000000000000000,355.0000000000000000,353.0000000000000000,0,352,352,0,354,353,0,355,353
correlated,1000,1000,4613,4.7761743102277637,4.7779519782729461,4.7775063839236150,4.7273725374091756,4.7699669114481469,5.6880204681599567,81005,386894,387038,81063,387279,383215,81297,387784,462419
correlated,1000,1000,5470,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
correlated,1000,1000,6035,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,330036.000000000000,0,995556,995556,0,995556,995556,0,995556,330036
