dataset,target,values,seed,m_error_no_stats,m_error_with_stats,p_error_no_stats,p_error_with_stats,f_error_no_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
correlated,1000,10,43,268797.000000000000,268524.000000000000,268644.000000000000,1.00000000000000000000,269177.000000000000,1.00000000000000000000,0,268797,268524,0,268644,1,0,269177,1
correlated,1000,10,633,111111.000000000000,111111.000000000000,111111.000000000000,1.00000000000000000000,111111.000000000000,1.00000000000000000000,0,111111,111111,0,111111,1,0,111111,1
correlated,1000,10,944,0.94946700000000000000,0.94999800000000000000,0.94992500000000000000,1.00000000000000000000,0.94989500000000000000,1.00000000000000000000,1000000,949467,949998,1000000,949925,1000000,1000000,949895,1000000
correlated,1000,10,1590,0.40026700000000000000,0.40033100000000000000,0.40036200000000000000,0.33333300000000000000,0.39990200000000000000,1.00000000000000000000,1000000,400267,400331,1000000,400362,333333,1000000,399902,1000000
correlated,1000,10,2439,0.11111100000000000000,0.11111100000000000000,0.11111100000000000000,1.00000000000000000000,0.11111100000000000000,1.00000000000000000000,1000000,111111,111111,1000000,111111,1000000,1000000,111111,1000000
correlated,1000,10,2728,999975.000000000000,999975.000000000000,999975.000000000000,995000.000000000000,999975.000000000000,1.00000000000000000000,0,999975,999975,0,999975,995000,0,999975,1
correlated,1000,10,2842,142751.000000000000,150230.000000000000,142184.000000000000,1.00000000000000000000,142279.000000000000,1.00000000000000000000,0,142751,150230,0,142184,1,0,142279,1
correlated,1000,10,3092,407407.000000000000,407407.000000000000,407407.000000000000,444444.000000000000,407407.000000000000,1.00000000000000000000,0,407407,407407,0,407407,444444,0,407407,1
correlated,1000,10,3280,37037.000000000000,37037.000000000000,37037.000000000000,1.00000000000000000000,37037.000000000000,1.00000000000000000000,0,37037,37037,0,37037,1,0,37037,1
correlated,1000,10,3930,1.0912943255865468,0.99999884628874162406,1.0907610940481767,1.00039689590481882394,1.0903713967232617,0.99933257176582606059,866768,945899,866767,866726,945391,867070,867509,945907,866930
correlated,1000,10,4278,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,1.00000000000000000000,0.55777800000000000000,1.00000000000000000000,1000000,557778,557778,1000000,557778,1000000,1000000,557778,1000000
correlated,1000,10,4549,2.3321440672898686,2.3265631540132746,2.3360681981909870,1.0021011766589290,2.3203501094091904,0.99144619057091704794,50171,117006,116726,49972,116738,50077,50270,116644,49840
correlated,1000,10,6019,110556.000000000000,110556.000000000000,110556.000000000000,1.00000000000000000000,110556.000000000000,1.00000000000000000000,0,110556,110556,0,110556,1,0,110556,1
correlated,1000,10,6441,0.59720829234994705753,0.59720829234994705753,0.59714987757243004216,0.99967109011056101708,0.59740480391935471730,1.0007430515006737,930255,555556,555556,930346,555556,930040,929949,555556,930640
correlated,1000,10,6625,37037.000000000000,37037.000000000000,37037.000000000000,1.00000000000000000000,37037.000000000000,1.00000000000000000000,0,37037,37037,0,37037,1,0,37037,1
correlated,1000,10,6678,703704.000000000000,703704.000000000000,703704.000000000000,1000000.000000000000,703704.000000000000,1.00000000000000000000,0,703704,703704,0,703704,1000000,0,703704,1
correlated,1000,10,6780,703704.000000000000,703704.000000000000,703704.000000000000,1000000.000000000000,703704.000000000000,1.00000000000000000000,0,703704,703704,0,703704,1000000,0,703704,1
correlated,1000,10,7451,1.0368353375456806,0.99980146408693102724,1.0371586239069210,1.00027713081844813670,1.0374070967094263,0.99960767435124915333,866342,898254,866170,866017,898197,866257,866627,899045,866287
correlated,1000,10,7544,0.33666700000000000000,0.33666700000000000000,0.33666700000000000000,1.00000000000000000000,0.33666700000000000000,1.00000000000000000000,1000000,336667,336667,1000000,336667,1000000,1000000,336667,1000000
correlated,1000,10,7868,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.33333300000000000000,0.40740700000000000000,1.00000000000000000000,1000000,407407,407407,1000000,407407,333333,1000000,407407,1000000
correlated,1000,10,7926,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1.00000000000000000000,0.70370400000000000000,1.00000000000000000000,1000000,703704,703704,1000000,703704,1000000,1000000,703704,1000000
correlated,1000,10,8333,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,1.00000000000000000000,0.40740700000000000000,1.00000000000000000000,1000000,407407,407407,1000000,407407,1000000,1000000,407407,1000000
correlated,1000,10,8398,37037.000000000000,37037.000000000000,37037.000000000000,1.00000000000000000000,37037.000000000000,1.00000000000000000000,0,37037,37037,0,37037,1,0,37037,1
correlated,1000,10,8988,997778.000000000000,997778.000000000000,997778.000000000000,666667.000000000000,997778.000000000000,1.00000000000000000000,0,997778,997778,0,997778,666667,0,997778,1
correlated,1000,10,9099,997778.000000000000,997778.000000000000,997778.000000000000,1000000.000000000000,997778.000000000000,1.00000000000000000000,0,997778,997778,0,997778,1000000,0,997778,1
correlated,1000,10,9311,0.03636000000000000000,0.00500000000000000000,0.03628100000000000000,0.00500000000000000000,0.03644300000000000000,1.00000000000000000000,1000000,36360,5000,1000000,36281,5000,1000000,36443,1000000
correlated,1000,10,9770,1.00131231539443891662,0.99981849568176416974,1.00048570436272192903,0.99981981934931283278,1.00075652831763754467,0.99952130018521900190,765822,766827,765683,765898,766270,765760,766660,767240,766293
correlated,1000,10,10281,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.66666700000000000000,0.55777800000000000000,1.00000000000000000000,1000000,557778,557778,1000000,557778,666667,1000000,557778,1000000
correlated,1000,10,10406,0.36349800000000000000,0.36318100000000000000,0.36333400000000000000,0.94479800000000000000,0.36330500000000000000,1.00000000000000000000,1000000,363498,363181,1000000,363334,944798,1000000,363305,1000000
correlated,1000,10,10425,0.91017600000000000000,0.90976800000000000000,0.91001100000000000000,0.33333300000000000000,0.91070500000000000000,1.00000000000000000000,1000000,910176,909768,1000000,910011,333333,1000000,910705,1000000
correlated,1000,10,10486,20095.000000000000,20017.000000000000,19910.0000000000000000,19909.0000000000000000,20059.000000000000,20023.000000000000,0,20095,20017,0,19910,19909,0,20059,20023
correlated,1000,10,10873,111111.000000000000,111111.000000000000,111111.000000000000,1.00000000000000000000,111111.000000000000,1.00000000000000000000,0,111111,111111,0,111111,1,0,111111,1
correlated,1000,10,11050,23530.000000000000,23403.000000000000,22634.000000000000,1.00000000000000000000,22859.000000000000,1.00000000000000000000,0,23530,23403,0,22634,1,0,22859,1
correlated,1000,10,11274,0.99668300000000000000,0.99668300000000000000,0.99668300000000000000,0.33833300000000000000,0.99668300000000000000,1.00000000000000000000,1000000,996683,996683,1000000,996683,338333,1000000,996683,1000000
correlated,1000,10,11404,331667.000000000000,331667.000000000000,331667.000000000000,1.00000000000000000000,331667.000000000000,1.00000000000000000000,0,331667,331667,0,331667,1,0,331667,1
correlated,1000,10,12498,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.66666700000000000000,0.70370400000000000000,1.00000000000000000000,1000000,703704,703704,1000000,703704,666667,1000000,703704,1000000
correlated,1000,10,12672,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.000001000000000000000000,0.70370400000000000000,1.00000000000000000000,1000000,703704,703704,1000000,703704,1,1000000,703704,1000000
correlated,1000,10,13798,37037.000000000000,37037.000000000000,37037.000000000000,1.00000000000000000000,37037.000000000000,1.00000000000000000000,0,37037,37037,0,37037,1,0,37037,1
correlated,1000,10,14268,0.99777800000000000000,0.99777800000000000000,0.99777800000000000000,1.00000000000000000000,0.99777800000000000000,1.00000000000000000000,1000000,997778,997778,1000000,997778,1000000,1000000,997778,1000000
correlated,1000,10,14590,849384.000000000000,844340.000000000000,850359.000000000000,1.00000000000000000000,849977.000000000000,1.00000000000000000000,0,849384,844340,0,850359,1,0,849977,1
correlated,1000,10,14614,347515.000000000000,346684.000000000000,346720.000000000000,1.00000000000000000000,346443.000000000000,1.00000000000000000000,0,347515,346684,0,346720,1,0,346443,1
correlated,1000,10,15068,1.2334380148839472,1.00184667101611137527,1.2322983289202381,1.00006633462501589267,1.2335301101876408,1.00345099257648220686,180866,223087,181200,180901,222924,180913,180238,222329,180860
correlated,1000,10,15147,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,1.00000000000000000000,0,333333,333333,0,333333,333333,0,333333,1
correlated,1000,10,15246,0.93784715483221042319,0.93844128718113246907,0.93881935092027779978,1.3203411761599197,0.93855853595737797994,0.99981250536406308798,757407,710332,710782,757380,711043,1000000,757355,710822,757213
correlated,1000,10,15320,406155.000000000000,406477.000000000000,406438.000000000000,1.00000000000000000000,406261.000000000000,1.00000000000000000000,0,406155,406477,0,406438,1,0,406261,1
correlated,1000,10,15876,1.0648876372336894,1.0661263179585809,1.0654838081937751,1.7640929955700042,1.0649221383849735,1.00121551269408068252,436755,465095,465636,436795,465398,770547,436030,464338,436560
correlated,1000,10,15983,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.00500000000000000000,0.11555600000000000000,1.00000000000000000000,1000000,115556,115556,1000000,115556,5000,1000000,115556,1000000
correlated,1000,10,16233,0.95785342680095576481,1.00058746773164022120,0.95563479148493378443,0.99969179045709737301,0.95552050874044664452,1.00027955874898871740,708124,678279,708540,707311,675931,707093,708259,676756,708457
correlated,1000,10,16447,49850.000000000000,49973.000000000000,50043.000000000000,1.00000000000000000000,49911.000000000000,1.00000000000000000000,0,49850,49973,0,50043,1,0,49911,1
correlated,1000,10,16841,0.43301300000000000000,0.43350000000000000000,0.43331300000000000000,1.00000000000000000000,0.43256200000000000000,1.00000000000000000000,1000000,433013,433500,1000000,433313,1000000,1000000,432562,1000000
correlated,1000,10,17051,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,1.00000000000000000000,1000000,333333,333333,1000000,333333,333333,1000000,333333,1000000
correlated,1000,10,17283,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,1.00000000000000000000,0.70370400000000000000,1.00000000000000000000,1000000,703704,703704,1000000,703704,1000000,1000000,703704,1000000
correlated,1000,10,17430,1.0527537061934306,1.0527547590145173,1.0525342410960519,1.0526005549310126,1.0528644983311046,1.0004527602581786,949829,999936,999937,950028,999937,1000000,949730,999937,950160
correlated,1000,10,18326,0.00665800000000000000,0.00665800000000000000,0.00665800000000000000,1.00000000000000000000,0.00665800000000000000,1.00000000000000000000,1000000,6658,6658,1000000,6658,1000000,1000000,6658,1000000
correlated,1000,10,19000,0.12393146186724250239,0.12393146186724250239,0.12391418537555886902,0.99995873653500647390,0.12394030929582994976,1.00048188040442259127,896552,111111,111111,896677,111111,896640,896488,111111,896920
correlated,1000,10,19692,0.55777800000000000000,0.55777800000000000000,0.55777800000000000000,0.000001000000000000000000,0.55777800000000000000,1.00000000000000000000,1000000,557778,557778,1000000,557778,1,1000000,557778,1000000
correlated,1000,10,20283,0.90402500000000000000,0.90460900000000000000,0.90422100000000000000,0.90417200000000000000,0.90425900000000000000,0.90446900000000000000,1000000,904025,904609,1000000,904221,904172,1000000,904259,904469
correlated,1000,10,20381,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,0.33333300000000000000,1.00000000000000000000,1000000,333333,333333,1000000,333333,333333,1000000,333333,1000000
correlated,1000,10,22578,0.70370400000000000000,0.70370400000000000000,0.70370400000000000000,0.33333300000000000000,0.70370400000000000000,1.00000000000000000000,1000000,703704,703704,1000000,703704,333333,1000000,703704,1000000
correlated,1000,10,22887,0.99749800000000000000,0.99750000000000000000,0.99750000000000000000,1.00000000000000000000,0.99749700000000000000,1.00000000000000000000,1000000,997498,997500,1000000,997500,1000000,1000000,997497,1000000
correlated,1000,10,23334,0.99984700000000000000,0.99984800000000000000,0.99984600000000000000,1.00000000000000000000,0.99984600000000000000,1.00000000000000000000,1000000,999847,999848,1000000,999846,1000000,1000000,999846,1000000
correlated,1000,10,23352,1.5808117193103568,1.5804285490355034,1.5816093920542663,1.5841408491311780,1.5817522179974651,1.00071768060836501901,631573,998398,998156,631257,998402,1000000,631200,998402,631653
correlated,1000,10,23425,49330.000000000000,49759.000000000000,48511.000000000000,1.00000000000000000000,49237.000000000000,1.00000000000000000000,0,49330,49759,0,48511,1,0,49237,1
